Layer,fillColor,fillOpacity,fillPattern,outlineColor,outlineOpacity,outlineWidth,ClassName,Z_Order,Label
Forests,"rgb(23,80,18)",1,mature-forest,"rgb(23,80,18)",1,1,imerss-region-mature-forest,0,Forests
Woodlands,"rgb(191,103,58)",1,woodland,"rgb(191,103,58)",1,1,imerss-region-woodland,0,Woodlands
Marine,"rgb(34,122,113)",1,marine,"rgb(34,122,113)",1,1,imerss-region-subtidal,0,Marine
Freshwater,"rgb(0,133,188)",1,,"rgb(0,133,188)",1,1,imerss-region-lake-laughlin-lake,1,Freshwater
Agricultural,"rgb(186,177,140)",1,,"rgb(186,177,140)",1,1,,0,Agricultural
Developed,"rgb(114,108,84)",1,,"rgb(114,108,84)",1,1,,0,Developed
Rural,"rgb(84,76,54)",1,,"rgb(84,76,54)",1,1,,0,Rural
Dock,"rgb(127,127,127)",1,,"rgb(127,127,127)",1,1,,1,Dock
Road,"rgb(127,127,127)",1,,"rgb(127,127,127)",1,1,,2,Road
EelgrassSimplified,"rgb(138, 232, 165)",0.7,,"rgb(138, 232, 165)",1,1,none,1,Eelgrass
Shoreline,"rgb(100,175,164)",0.7,,"rgb(100,175,164)",1,1,none,1,
Delta,"rgb(52,153,198)",0.7,,"rgb(52,153,198)",0,1,none,1,Delta
ProjectBoundary,none,0,,black,1,1,,3,
