"iNaturalist taxon name","iNaturalist taxon ID","Taxon name","nameStatus","Common name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date observed","Description","Place name","Recorded by","Event Remarks","coordinateUncertaintyInMeters","Individual count","Depth","Catalog Number","Confidence","Field number","Coordinates Corrected","Coordinates Corrected Note","Captive/Cultivated","Quality grade","STATE","CLASS","SUB_CLASS","COMMENT","Community","LABEL","LABEL_LAB","LEGEND_LAB","Rank"
"Rana aurora",25545,"Rana aurora","accepted","Northern Red-legged Frog","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Anura",,,,"Ranidae",,,"Rana","aurora","iNat:2333734",48.948238,-123.502164,2013-09-27,,,"Bridget Spencer",,43,,,,,,,,FALSE,"research","Natural","RI","ff","trees dying from raised water table","Freshwater","Riparian",,"Riparian","species"
"Typha angustifolia",60316,"Typha angustifolia","accepted","narrow-leaved cattail","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Poales",,,,"Typhaceae",,,"Typha","angustifolia","iNat:2583333",48.948576,-123.502648,2013-08-21,,,,,21,,,,,,,,FALSE,"research","Natural","RI","ff","trees dying from raised water table","Freshwater","Riparian",,"Riparian","species"
"Oemleria cerasiformis",53419,"Oemleria cerasiformis","accepted","Osoberry","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Rosales",,,,"Rosaceae","Amygdaloideae","Exochordeae","Oemleria","cerasiformis","iNat:2692194",48.94163,-123.50101,2016-02-16,,,"Andrew Simon",,21,,,,,,"yes","shunted to nearby stream to known location",FALSE,"research","Natural","RI","ff",,"Freshwater","Riparian",,"Riparian","species"
"Fabeae",633087,"Fabeae","accepted","Peas, Vetches, and Allies","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Fabales",,,,"Fabaceae","Faboideae","Fabeae",,,"iNat:3369536",48.948308,-123.502271,2016-06-01 21:05:26,,,"Adam Huggins",,32,,,,,,,,FALSE,"needs_id","Natural","RI","ff","trees dying from raised water table","Freshwater","Riparian",,"Riparian","tribe"
"Stachys chamissonis cooleyae",52627,"Stachys chamissonis cooleyae","accepted","Cooley's Hedge-nettle","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Lamiaceae","Lamioideae","Stachydeae","Stachys","chamissonis","iNat:3395931",48.948438,-123.502228,2016-06-05,,,"Andrew Simon",,58,,,,,,,,FALSE,"research","Natural","RI","ff","trees dying from raised water table","Freshwater","Riparian",,"Riparian","species"
"Prunella vulgaris vulgaris",81287,"Prunella vulgaris vulgaris","accepted",,"Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Lamiaceae","Nepetoideae","Mentheae","Prunella","vulgaris","iNat:3395941",48.948667,-123.503108,2016-06-05,,,"Andrew Simon",,140,,,,,,,,FALSE,"research","Natural","LC","la","very shallow water, rooted and floating veg abunda","Freshwater","Laughlin Lake",,"Laughlin Lake","species"
"Carex",48571,"Carex","accepted","true sedges","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Poales",,,,"Cyperaceae","Cyperoideae","Cariceae","Carex",,"iNat:3402913",48.948469,-123.503151,2016-06-05,,,"Andrew Simon",,118,,,,,,,,FALSE,"needs_id","Natural","LC","la","very shallow water, rooted and floating veg abunda","Freshwater","Laughlin Lake",,"Laughlin Lake","genus"
"Tiarella trifoliata trifoliata",51649,"Tiarella trifoliata trifoliata","accepted","Threeleaf Foamflower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Saxifragales",,,,"Saxifragaceae",,"Heuchereae","Tiarella","trifoliata","iNat:3402932",48.948469,-123.503151,2016-06-05,,,"Andrew Simon",,118,,,,,,,,FALSE,"research","Natural","LC","la","very shallow water, rooted and floating veg abunda","Freshwater","Laughlin Lake",,"Laughlin Lake","species"
"Thuja plicata",48252,"Thuja plicata","accepted","western redcedar","Plantae","Tracheophyta",,,"Pinopsida",,,"Pinales",,,,"Cupressaceae","Cupressoideae",,"Thuja","plicata","iNat:3402939",48.948469,-123.503151,2016-06-05,,,"Andrew Simon",,118,,,,,,,,FALSE,"research","Natural","LC","la","very shallow water, rooted and floating veg abunda","Freshwater","Laughlin Lake",,"Laughlin Lake","species"
"Tiarella trifoliata",51643,"Tiarella trifoliata","accepted","Threeleaf Foamflower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Saxifragales",,,,"Saxifragaceae",,"Heuchereae","Tiarella","trifoliata","iNat:3402992",48.948469,-123.503151,2016-06-05,,,"Andrew Simon",,118,,,,,,,,FALSE,"research","Natural","LC","la","very shallow water, rooted and floating veg abunda","Freshwater","Laughlin Lake",,"Laughlin Lake","species"
"Achlys triphylla",75263,"Achlys triphylla","accepted","vanilla leaf","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Ranunculales",,,,"Berberidaceae","Berberidoideae","Berberideae","Achlys","triphylla","iNat:3403001",48.948469,-123.503151,2016-06-05,,,"Andrew Simon",,118,,,,,,,,FALSE,"research","Natural","LC","la","very shallow water, rooted and floating veg abunda","Freshwater","Laughlin Lake",,"Laughlin Lake","species"
"Lapsana communis",55981,"Lapsana communis","accepted","nipplewort","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Asterales",,,,"Asteraceae","Cichorioideae","Cichorieae","Lapsana","communis","iNat:3403010",48.948469,-123.503151,2016-06-05,,,"Andrew Simon",,118,,,,,,,,FALSE,"research","Natural","LC","la","very shallow water, rooted and floating veg abunda","Freshwater","Laughlin Lake",,"Laughlin Lake","species"
"Philaenus spumarius",56189,"Philaenus spumarius","accepted","Meadow Spittlebug","Animalia","Arthropoda","Hexapoda",,"Insecta","Pterygota",,"Hemiptera","Auchenorrhyncha","Cicadomorpha","Cercopoidea","Aphrophoridae","Aphrophorinae","Philaenini","Philaenus","spumarius","iNat:3403042",48.948469,-123.503151,2016-06-05,,,"Andrew Simon",,118,,,,,,,,FALSE,"research","Natural","LC","la","very shallow water, rooted and floating veg abunda","Freshwater","Laughlin Lake",,"Laughlin Lake","species"
"Equisetum arvense",52724,"Equisetum arvense","accepted","field horsetail","Plantae","Tracheophyta",,,"Polypodiopsida","Equisetidae",,"Equisetales",,,,"Equisetaceae",,,"Equisetum","arvense","iNat:3403058",48.948469,-123.503151,2016-06-05,,,"Andrew Simon",,118,,,,,,,,FALSE,"research","Natural","LC","la","very shallow water, rooted and floating veg abunda","Freshwater","Laughlin Lake",,"Laughlin Lake","species"
