"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"× Elyhordeum stebbinsianum","(Bowden) Bowden","","purple wildrye","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","Pooidiae",,"× Elyhordeum ","","× Elyhordeum stebbinsianum","","","native","SNA",,"2018-07-14","Frank Lomer; Judith Holm","BABY","BABY-11514",,"2018-07-14","Frank Lomer; Judith Holm","BABY","BABY-11514",,3,"new 2018","unobserved","",1435202,"VAS"
"Abies amabilis","Douglas ex J. Forbes","","Pacific silver fir","Plantae","Tracheophyta","",,"Pinopsida","","","Pinales","",,"Pinaceae","",,"Abies","Abies amabilis","","","","native","S5 (2015)",,"1912-08-16","John Davidson","UBC","V5324",,"2022-10-18","FreckLes","iNaturalist","139300026",,90,"confirmed","observed","",75240,"VAS"
"Abies grandis","(Douglas ex D. Don) Lindl.","","grand fir","Plantae","Tracheophyta","",,"Pinopsida","","","Pinales","",,"Pinaceae","",,"Abies","Abies grandis","","","","native","S5 (2015)",,"2018-12-07","Ben Keen","iNaturalist","18883970",,"2022-10-26","Joshua","iNaturalist","140063961",,33,"new 2018","observed","",63690,"VAS"
"Abies lasiocarpa","(Hooker) Nuttall","","subalpine fir","Plantae","Tracheophyta","",,"Pinopsida","","","Pinales","",,"Pinaceae","",,"Abies","Abies lasiocarpa","","","","native","S5 (2015)",,"2017-08-29","Adam Huggins","iNaturalist","7711999",,"2022-10-15","student_of_life","iNaturalist","138982646",,18,"new 2017","observed","",75241,"VAS"
"Acer campestre","L.","","field maple","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Sapindales","",,"Sapindaceae","",,"Acer","Acer campestre","","","","exotic","unlisted",,"2021-10-08","Ben Keen","iNaturalist","97603328",,"2021-10-08","Ben Keen","iNaturalist","97603328",,1,"new 2021","observed","",56193,"VAS"
"Acer circinatum","Pursh","","vine maple","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Sapindales","",,"Sapindaceae","",,"Acer","Acer circinatum","","","","native","S5 (2015)",,"1975-09-14","Richard Hebda","UBC","V162053",,"2022-11-12","karinadsj","iNaturalist","142000848",,90,"confirmed","observed","",48258,"VAS"
"Acer glabrum var. douglasii","Torr.","(Hook.) Dippel","Douglas’ maple","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Sapindales","",,"Sapindaceae","",,"Acer","Acer glabrum","","","douglasii","native","S5 (2015)",,"1912-08-06","John Davidson","CPNWH","2468436",,"2022-06-06","Jens-Christian Svenning","iNaturalist","120539903",,18,"confirmed","observed","",181694,"VAS"
"Acer macrophyllum","Pursh","","bigleaf maple","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Sapindales","",,"Sapindaceae","",,"Acer","Acer macrophyllum","","","","native","S5 (2015)",,"1993-01-01","MacPhail, J. & Woodward, R.","E","19941712",,"2022-11-20","Guerric Haché","iNaturalist","142490818",,151,"confirmed","observed","",48227,"VAS"
"Achillea filipendulina","Lam.","","fern-leaf yarrow","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae",,"Achillea","Achillea filipendulina","","","","exotic","SNA (2019)",,"2019-07-04","Sarah Wang - whi","iNaturalist","28215229",,"2022-09-03","Matthew Syvenky","iNaturalist","133625169",,7,"new 2019","observed","",157924,"VAS"
"Achillea millefolium","L.","","common yarrow","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae",,"Achillea","Achillea millefolium","","","","exotic","SNA (2019)",,"1951-08-22","W. Cottle","UBC","V27381",,"2022-10-03","Roslyn","iNaturalist","137815005",,75,"confirmed","observed","",52821,"VAS"
"Achnatherum hymenoides","(Roem. & Schult.) Barkworth","","indian ricegrass","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","Pooidiae",,"Achnatherum","Achnatherum hymenoides","","","","native","S4 (2015)",,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:7",,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:7",,1,"new 2020","unobserved","UBC: Bowen Island Mt. Gardner",117413,"VAS"
"Acmispon parviflorus","(Benth.) D.D. Sokoloff","","short-flower deervetch","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Fabales","",,"Fabaceae","Faboideae",,"Acmispon","Acmispon parviflorus","","","","native","S4S5 (2019)",,"1981-05-13","Adolf Ceska; Oldriska Ceska; Robert Ogilvie","RBCM","V154855",,"2022-05-08","Ben Keen","iNaturalist","116164952",,5,"confirmed","observed","",57048,"VAS"
"Actaea rubra","(Alton) Willd.","","red baneberry","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Ranunculales","",,"Ranunculaceae","Ranunculoideae",,"Actaea","Actaea rubra","","","","native","S5 (2019)",,"2018-08-06","FreckLes","iNaturalist","88355811",,"2022-06-26","Lyrae","iNaturalist","125196456",,13,"new 2018","observed","",49870,"VAS"
"Adenocaulon bicolor","Hook.","","american trailplant","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Mutisioideae",,"Adenocaulon","Adenocaulon bicolor","","","","native","S5 (2015)",,"1984-08-14","Bruce A. Bohm","UBC","V194653",,"2022-09-08","Megan Blackmore","iNaturalist","134267133",,28,"confirmed","observed","",56854,"VAS"
"Adiantum aleuticum var. aleuticum","(Rupr.) Paris","","western maidenhair fern","Plantae","Tracheophyta","",,"Polypodiopsida","Polypodiidae","","Polypodiales","",,"Pteridaceae","",,"Adiantum","Adiantum aleuticum","","","aleuticum","native","S4 (2012)",,"1963-10-23","Thomas M.C. Taylor","UBC","V104640",,"2022-11-18","Maleen Mund","iNaturalist","142635270",,105,"confirmed","observed","",52667,"VAS"
"Aegopodium podagraria","L.","","goutweed","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Apiales","",,"Apiaceae","Apioideae",,"Aegopodium","Aegopodium podagraria","","","","exotic","SNA (2019)",,"2019-09-15","Ben Keen","iNaturalist","32797199",,"2021-07-01","Ben Keen","iNaturalist","85286116",,8,"new 2019","observed","",51741,"VAS"
"Aesculus hippocastanum","L.","","horse-chestnut","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Sapindales","",,"Sapindaceae","",,"Aesculus","Aesculus hippocastanum","","","","exotic","SNA (2013)",,"2018-05-15","Danielle Frohlich","iNaturalist","31548281",,"2021-10-10","mdeen","iNaturalist","98055614",,4,"new 2018","observed","",84298,"VAS"
"Agoseris aurantiaca var. aurantiaca","(Hook.) Greene","","orange agoseris","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Cichorioideae",,"Agoseris","Agoseris aurantiaca","","","aurantiaca","native","S5 (2015)",,"1912-08-10","John Davidson","UBC","V44810",,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:12",,9,"reported","unobserved","",75302,"VAS"
"Agoseris glauca","(Pursh) Raf.","","short-beaked agoseris","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Cichorioideae",,"Agoseris","Agoseris glauca","","","","native","S5",,"1964-09-20","Vladimir J. Krajina, R.C. Brooke","UBC","V108844",,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:13",,3,"reported","unobserved","",75303,"VAS"
"Agrostis aequivalvis","(Trin.) Scribn. & Merr.","","northern bentgrass","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","Pooidiae",,"Agrostis","Agrostis aequivalvis","","","","native","S5 (2000)",,"1912-07-12","John Davidson","RBCM","V048262",,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:14",,3,"reported","unobserved","Reported as: Podagrostis aequivalvis; iNat: needs i.d.",158130,"VAS"
