id,ZONE,VRNTNM,SBZNNM,SUBZONE,NTRLDSTRB1,MAP_LABEL,NTRLDSTRBN,BGC_LABEL,VARIANT,ZONE_NAME,HA,UTM_E,UTM_N,ELEV,SOL,REGION
15,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,66.7,"456290","5530385","1238","977",1A
16,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,86.0,"456290","5529385","997","790",1A
17,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,43.7,"456290","5528385","1223","289",1A
18,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,44.2,"456290","5527385","1503","636",1A
19,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,44.1,"456290","5526385","558","429",1A
20,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,39.0,"456290","5525385","609","68",1A
21,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,33.1,"456290","5524385","1061","79",2A
22,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,48.8,"456290","5523385","1110","768",2A
23,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,66.4,"456290","5522385","1439","696",2A
24,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"456290","5521385","1856","415",2A
25,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"456290","5520385","1646","417",2A
26,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,94.1,"456290","5519385","1506","531",2A
27,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,89.0,"456290","5518385","1613","589",2A
28,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"456290","5517385","1732","586",2A
29,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,42.7,"456290","5516385","1421","452",2A
30,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,52.0,"456290","5515385","1451","509",2A
31,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,44.8,"456290","5514385","1318","763",2A
32,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,85.8,"456290","5513385","1283","684",2A
33,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,78.6,"456290","5512385","1338","795",2A
34,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,98.4,"456290","5511385","705","403",2A
35,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,57.3,"456290","5510385","640","945",2A
36,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,72.3,"456290","5509385","544","795",2A
37,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,93.2,"456290","5508385","499","740",2A
38,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,100.1,"456290","5507385","456","637",2A
39,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,66.4,"456290","5506385","589","365",2A
40,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,56.8,"456290","5505385","685","85",2A
41,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,66.4,"456290","5504385","808","607",3A
42,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,90.6,"456290","5503385","412","321",3A
43,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"456290","5502385","61","515",3A
44,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"456290","5501385","0","658",3A
45,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"456290","5500385","118","874",3A
46,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"456290","5499385","389","782",3A
47,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,92.3,"456290","5498385","523","891",3A
48,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,66.2,"456290","5497385","746","89",3A
49,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,99.1,"456290","5496385","1274","679",3A
50,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,49.6,"456290","5495385","1537","767",3A
51,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,38.1,"456290","5494385","1483","498",3A
52,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,94.8,"456290","5493385","1228","887",3A
53,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,87.5,"456290","5492385","980","835",3A
54,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,75.7,"456290","5491385","1185","890",3A
55,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,99.5,"456290","5490385","1300","794",3A
56,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,54.3,"456290","5489385","1011","674",3A
57,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,90.3,"456290","5488385","914","796",3A
58,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,69.3,"456290","5487385","1004","853",3A
59,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,100.1,"456290","5486385","1087","619",3A
60,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,100.1,"456290","5485385","1142","726",3A
61,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,100.1,"456290","5484385","1093","641",4A
62,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,70.9,"456290","5483385","1000","647",4A
63,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,100.1,"456290","5482385","919","658",4A
64,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,100.1,"456290","5481385","835","656",4A
65,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,55.2,"456290","5480385","710","704",4A
66,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"456290","5479385","620","655",4A
67,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"456290","5478385","487","636",4A
68,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"456290","5477385","423","683",4A
69,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"456290","5476385","341","656",4A
70,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,99.0,"456290","5475385","251","688",4A
71,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,72.1,"456290","5474385","156","726",4A
72,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"456290","5473385","31","684",4A
73,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"456290","5472385","0","662",4A
74,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"456290","5471385","0","662",4A
75,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"456290","5470385","0","663",4A
76,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"456290","5469385","0","663",4A
77,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"456290","5468385","0","663",4A
78,CDF,,Moist Maritime,mm,Ecosystems with infrequent stand-initiating events,CDFmm,NDT2,CDF mm,,Coastal Douglas-fir,68.1,"456290","5467385","0","663",4A
79,CDF,,Moist Maritime,mm,Ecosystems with infrequent stand-initiating events,CDFmm,NDT2,CDF mm,,Coastal Douglas-fir,100.1,"456290","5466385","0","663",4A
80,CDF,,Moist Maritime,mm,Ecosystems with infrequent stand-initiating events,CDFmm,NDT2,CDF mm,,Coastal Douglas-fir,100.1,"456290","5465385","0","663",4A
81,CDF,,Moist Maritime,mm,Ecosystems with infrequent stand-initiating events,CDFmm,NDT2,CDF mm,,Coastal Douglas-fir,100.1,"456290","5464385","0","663",4A
82,CDF,,Moist Maritime,mm,Ecosystems with infrequent stand-initiating events,CDFmm,NDT2,CDF mm,,Coastal Douglas-fir,100.1,"456290","5463385","0","664",4A
83,MH,Leeward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm2,NDT1,MH  mm 2,"2",Mountain Hemlock,37.6,"457290","5544385","1401","360",1A
84,MH,Leeward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm2,NDT1,MH  mm 2,"2",Mountain Hemlock,43.6,"457290","5543385","1176","417",1A
85,CWH,Southern,Moist Submaritime,ms,Ecosystems with infrequent stand-initiating events,CWHms1,NDT2,CWH ms 1,"1",Coastal Western Hemlock,91.0,"457290","5542385","977","589",1A
86,MH,Leeward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm2,NDT1,MH  mm 2,"2",Mountain Hemlock,67.2,"457290","5541385","1287","620",1A
87,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,68.3,"457290","5540385","1541","416",1A
88,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,97.6,"457290","5539385","1633","474",1A
89,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"457290","5538385","1685","581",1A
90,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"457290","5537385","1947","552",1A
91,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"457290","5536385","2030","627",1A
92,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"457290","5535385","1830","1082",1A
93,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"457290","5534385","1767","829",1A
94,MH,Leeward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm2,NDT1,MH  mm 2,"2",Mountain Hemlock,57.7,"457290","5533385","1264","571",1A
95,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,89.9,"457290","5532385","1388","860",1A
96,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"457290","5531385","1699","862",1A
97,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"457290","5530385","1908","435",1A
98,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,98.4,"457290","5529385","1592","889",1A
99,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,30.2,"457290","5528385","1011","933",1A
100,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,95.7,"457290","5527385","939","278",1A
101,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,37.7,"457290","5526385","562","724",1A
102,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,39.8,"457290","5525385","1192","73",1A
103,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"457290","5524385","1745","582",2A
104,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,99.4,"457290","5523385","1716","874",2A
105,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,82.0,"457290","5522385","1271","709",2A
106,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,91.4,"457290","5521385","1534","651",2A
107,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,72.1,"457290","5520385","1021","835",2A
108,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,97.2,"457290","5519385","996","677",2A
109,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,87.0,"457290","5518385","1387","517",2A
110,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,64.0,"457290","5517385","1349","533",2A
111,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,47.8,"457290","5516385","1089","73",2A
112,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,62.3,"457290","5515385","1124","671",2A
113,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,64.1,"457290","5514385","1238","546",2A
114,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,77.2,"457290","5513385","1173","632",2A
115,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,84.5,"457290","5512385","955","439",2A
116,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,96.0,"457290","5511385","820","908",2A
117,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,58.2,"457290","5510385","1122","732",2A
118,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,67.8,"457290","5509385","1285","921",2A
119,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,78.8,"457290","5508385","932","328",2A
120,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,71.7,"457290","5507385","589","856",2A
121,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,96.2,"457290","5506385","417","885",2A
122,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,100.1,"457290","5505385","313","751",2A
123,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,56.8,"457290","5504385","284","582",3A
124,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"457290","5503385","147","429",3A
125,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"457290","5502385","0","658",3A
126,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"457290","5501385","0","658",3A
127,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"457290","5500385","387","801",3A
128,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,49.7,"457290","5499385","925","720",3A
129,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,58.9,"457290","5498385","1245","775",3A
130,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,97.6,"457290","5497385","628","651",3A
131,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,76.8,"457290","5496385","935","83",3A
132,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,80.6,"457290","5495385","1234","91",3A
133,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,87.2,"457290","5494385","1111","851",3A
134,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,63.8,"457290","5493385","1058","781",3A
135,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,92.7,"457290","5492385","1006","664",3A
136,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,53.5,"457290","5491385","1287","269",3A
137,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,76.1,"457290","5490385","1253","377",3A
138,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,98.2,"457290","5489385","1104","510",3A
139,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,100.1,"457290","5488385","973","887",3A
140,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,100.1,"457290","5487385","1177","798",3A
141,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,100.1,"457290","5486385","1141","581",3A
142,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,99.4,"457290","5485385","1085","572",3A
143,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,54.2,"457290","5484385","999","583",4A
144,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,95.6,"457290","5483385","878","543",4A
145,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,100.1,"457290","5482385","798","600",4A
146,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,100.1,"457290","5481385","791","588",4A
147,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,65.0,"457290","5480385","733","577",4A
