Layer,fillColor,fillOpacity,outlineColor,outlineOpacity,outlineWidth,ClassName,Z_Order
Canal,"rgb(52, 153, 198)",0,"rgb(52, 153, 198)",1,3,none,2
DavidsonCreek,"rgb(52,153,198)",0,"rgb(52,153,198)",1,3,none,2
