Layer,fillColor,fillOpacity,ClassName
Agricultural,lightgreen,1,none
Canal,lightgreen,1,none
Clearcut,lightgreen,1,fld-imerss-region-clearcut
CoastalBluff,lightgreen,1,none
DavidsonCreek,lightgreen,1,none
Developed,lightgreen,1,none
Dock,lightgreen,1,none
EelgrassSimplified,lightgreen,1,none
GreigCreek,lightgreen,1,none
LaughlinLake,lightgreen,1,fld-imerss-region-lake-laughlin-lake
MatureForest,lightgreen,1,fld-imerss-region-mature-forest
PoleSapling,lightgreen,1,fld-imerss-region-pole-sapling
Pond,lightgreen,1,none
ProjectBoundary,lightgreen,0,none
Riparian,lightgreen,1,none
Road,lightgreen,1,none
Rural,lightgreen,1,none
Shoreline,lightgreen,1,none
Subtidal,lightgreen,1,fld-imerss-region-subtidal
Wetland,lightgreen,1,fld-imerss-region-wetland
Woodland,lightgreen,1,fld-imerss-region-woodland
YoungForest,lightgreen,1,fld-imerss-region-young-forest
