"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","temp_id","yearRecorded","protectedArea","IUCN_CAT","OECM","protectedAreaType","GOV_TYPE","OWNER_E","IUCN_Categ","decimalLatitude","decimalLongitude"
"× Elyhordeum stebbinsianum","(Bowden) Bowden",1435202,"Plantae","Tracheophyta","Liliopsida","Poales","",NA,NA,"Poaceae","× Elyhordeum ",NA,"","× Elyhordeum stebbinsianum","hybrid","BABY","BABY","BABY-11514","","BABY-11514-11239","Frank Lomer; Judith Holm","11239",NA,"2018-07-14",2018,7,14,"PRESERVED_SPECIMEN","Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","SNA",NA,"Frank Lomer",NA,NA,NA,NA,NA,1,2018,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.702083,-123.175972
"× Elyhordeum stebbinsianum","(Bowden) Bowden",1435202,"Plantae","Tracheophyta","Liliopsida","Poales","",NA,NA,"Poaceae","× Elyhordeum ",NA,"","× Elyhordeum stebbinsianum","hybrid","UBC","UBCVascular","V253319","","E62FD1F3-62A0-B649-8382-B5D48C180540","Frank Lomer, Judith Holm","11239",NA,"2018-07-14",2018,7,14,"PRESERVED_SPECIMEN","Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",NA,NA,"British Columbia","Canada","CA",5,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","SNA",NA,"Frank Lomer",NA,NA,NA,NA,NA,2,2018,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.7021109990697,-123.175972
"× Elyhordeum stebbinsianum","(Bowden) Bowden",1435202,"Plantae","Tracheophyta","Liliopsida","Poales","",NA,NA,"Poaceae","× Elyhordeum ",NA,"","× Elyhordeum stebbinsianum","hybrid","","","BABY-11514","","http://bins.boldsystems.org/index.php/Public_RecordView?processid=BBYUK3195-20","Frank Lomer; Judith Holm","",NA,"2018-07-14",2018,7,14,"MATERIAL_SAMPLE","Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","SNA",NA,"Frank Lomer",NA,NA,NA,NA,NA,3,2018,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.702,-123.176
"Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","45658703","","https://www.inaturalist.org/observations/45658703","Chloe and Trevor Van Loon","",NA,"2020-05-09",2020,5,9,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Chloe and Trevor Van Loon",NA,NA,NA,NA,NA,223,2020,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.709144,-123.165287
"Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","133778718","","https://www.inaturalist.org/observations/133778718","Sam Turner","",NA,"2022-09-03",2022,9,3,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Sam Turner",NA,NA,NA,NA,NA,233,2022,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.706297,-123.166069
"Acer macrophyllum","Pursh",48227,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,NA,"Sapindaceae","Acer",NA,"Acer macrophyllum","","species","iNaturalist","Observations","9587720","","https://www.inaturalist.org/observations/9587720","hillanddale","",NA,"2017-10-24",2017,10,24,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",171,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"hillanddale",NA,NA,NA,NA,NA,369,2017,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.714324,-123.165665
"Acer macrophyllum","Pursh",48227,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,NA,"Sapindaceae","Acer",NA,"Acer macrophyllum","","species","iNaturalist","Observations","114389371","","https://www.inaturalist.org/observations/114389371","Roslyn","",NA,"2022-05-01",2022,5,1,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",5,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Andrew Conboy",NA,NA,NA,NA,NA,383,2022,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.719967,-123.168
"Alnus alnobetula ssp. sinuata","(Ehrh.) K.Koch",939032,"Plantae","Tracheophyta","Magnoliopsida","Fagales","",NA,NA,"Betulaceae","Alnus",NA,"Alnus alnobetula","sinuata","subspecies","iNaturalist","Observations","55822280","","https://www.inaturalist.org/observations/55822280","csmaha","",NA,"2020-08-08",2020,8,8,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",13,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"csmaha",NA,NA,NA,NA,NA,819,2020,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.698759,-123.177875
"Alnus rubra","Bong.",56034,"Plantae","Tracheophyta","Magnoliopsida","Fagales","",NA,NA,"Betulaceae","Alnus",NA,"Alnus rubra","","species","iNaturalist","Observations","83650331","","https://www.inaturalist.org/observations/83650331","Rachel Munger","",NA,"2021-06-18",2021,6,18,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",5,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Rachel Munger",NA,NA,NA,NA,NA,867,2021,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.699672,-123.167495
"Alnus rubra","Bong.",56034,"Plantae","Tracheophyta","Magnoliopsida","Fagales","",NA,NA,"Betulaceae","Alnus",NA,"Alnus rubra","","species","iNaturalist","Observations","6595700","","http://inaturalist.ca/observations/6595700","Vanessa","",NA,"2017-06-11",2017,6,11,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",5,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Vanessa",NA,NA,NA,NA,NA,893,2017,"Skwelwil'Em Squamish Estuary","IV","No","Wildlife Management Area","Sub-national Government","Government of British Columbia","IV",49.695572,-123.180535
