"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","latitude","longitude"
"Cinna latifolia","(Trev. ex Goepp.) Griseb.",76340,"Plantae","Tracheophyta","Liliopsida","Poales","",NA,"Poaceae","Cinna",NA,"Cinna latifolia","","species","RBCM","V","V148200","","RBCM:Botany:V148200","C. Tay","CMT-79-66",NA,"1979-07-28",1979,7,28,"PRESERVED_SPECIMEN","McNair Creek Valley: Avalanche chute W side of McNair Creek Valley",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,1,NA,"native","S5 (2019)",NA,"Hans Roemer; Ryan Batten",NA,NA,NA,NA,NA,49.547,-123.56
"Arnica lanceolata ssp. prima","Nutt.",79623,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Arnica",NA,"Arnica lanceolata","prima","subspecies","RBCM","V","V144334","","RBCM:Botany:V144334","C. Tay","CMT-79-64",NA,"1970-07-28",1970,7,28,"PRESERVED_SPECIMEN","McNair Creek: avalanche chute on W side of creek valley",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,1,NA,"native","S5? (2015)",NA,"Hans Roemer; Ryan Batten",NA,NA,NA,NA,NA,49.538,-123.54
"Coptis aspleniifolia","Salisb.",160861,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","",NA,"Ranunculaceae","Coptis",NA,"Coptis aspleniifolia","","species","iNaturalist","Observations","125472111","","https://www.inaturalist.org/observations/125472111","Lyrae","",NA,"2022-06-26",2022,6,26,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Lyrae",NA,NA,NA,NA,NA,49.493,-123.54
"Lysichiton americanus","Hultén & H.St.John",48537,"Plantae","Tracheophyta","Liliopsida","Alismatales","",NA,"Araceae","Lysichiton",NA,"Lysichiton americanus","","species","iNaturalist","Observations","125472110","","https://www.inaturalist.org/observations/125472110","Lyrae","",NA,"2022-06-26",2022,6,26,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"Lyrae",NA,NA,NA,NA,NA,49.493,-123.54
"Lysichiton americanus","Hultén & H.St.John",48537,"Plantae","Tracheophyta","Liliopsida","Alismatales","",NA,"Araceae","Lysichiton",NA,"Lysichiton americanus","","species","iNaturalist","Observations","125472082","","https://www.inaturalist.org/observations/125472082","Lyrae","",NA,"2022-06-26",2022,6,26,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"Lyrae",NA,NA,NA,NA,NA,49.493,-123.54
"Lamium galeobdolon","(L.) Crantz",204339,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","",NA,"Lamiaceae","Lamium",NA,"Lamium galeobdolon","argentatum","species","iNaturalist","Observations","125472093","","https://www.inaturalist.org/observations/125472093","Lyrae","",NA,"2022-06-26",2022,6,26,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2007)",NA,"Moritz",NA,NA,NA,NA,NA,49.502,-123.53
"Montia parvifolia","(Moc. ex DC.) Greene",78123,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","",NA,"Montiaceae","Montia",NA,"Montia parvifolia","","species","iNaturalist","Observations","125472099","","https://www.inaturalist.org/observations/125472099","Lyrae","",NA,"2022-06-26",2022,6,26,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Lyrae",NA,NA,NA,NA,NA,49.502,-123.53
"Rhododendron menziesii","Craven",553849,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,"Ericaceae","Rhododendron",NA,"Rhododendron menziesii","","species","iNaturalist","Observations","125472108","","https://www.inaturalist.org/observations/125472108","Lyrae","",NA,"2022-06-26",2022,6,26,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"Lyrae",NA,NA,NA,NA,NA,49.502,-123.53
"Veronica serpyllifolia","L.",55749,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","",NA,"Plantaginaceae","Veronica",NA,"Veronica serpyllifolia","","species","iNaturalist","Observations","125472098","","https://www.inaturalist.org/observations/125472098","Lyrae","",NA,"2022-06-26",2022,6,26,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2000)",NA,"Lyrae",NA,NA,NA,NA,NA,49.502,-123.53
"Microsteris gracilis","(hook.) greene",61210,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,"Polemoniaceae","Microsteris",NA,"Microsteris gracilis","","species","RBCM","V","V161198","","RBCM:Botany:V161198","Robert Ogilvie","s.n.",NA,"1990-04-29",1990,4,29,"PRESERVED_SPECIMEN","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,1,NA,"native","S5",NA,"Robert Ogilvie",NA,NA,NA,NA,NA,49.52,-123.53
"Arabis eschscholtziana","Andrz.",75494,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","",NA,"Brassicaceae","Arabis",NA,"Arabis eschscholtziana","","species","RBCM","V","V007549","","RBCM:Botany:V007549","George Hardy","s.n.",NA,"1925-05-03",1925,5,3,"PRESERVED_SPECIMEN","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,1,NA,"native","S5 (2019)",NA,"Curtis Bjork",NA,NA,NA,NA,NA,49.502,-123.52
"Cytisus scoparius","(L.) Link",48538,"Plantae","Tracheophyta","Magnoliopsida","Fabales","",NA,"Fabaceae","Cytisus",NA,"Cytisus scoparius","","species","iNaturalist","Observations","125472103","","https://www.inaturalist.org/observations/125472103","Lyrae","",NA,"2022-06-26",2022,6,26,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2001)",NA,"Lyrae",NA,NA,NA,NA,NA,49.502,-123.52
"Cytisus scoparius","(L.) Link",48538,"Plantae","Tracheophyta","Magnoliopsida","Fabales","",NA,"Fabaceae","Cytisus",NA,"Cytisus scoparius","","species","iNaturalist","Observations","125472102","","https://www.inaturalist.org/observations/125472102","Lyrae","",NA,"2022-06-26",2022,6,26,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2001)",NA,"Lyrae",NA,NA,NA,NA,NA,49.502,-123.52
