"scientific","scientif_1","taxonID","kingdom","phylum","class","order","suborder","infraorder","superfamil","family","genus","subgenus","specificEp","infraspeci","taxonRank","institutio","collection","catalogNum","datasetNam","occurrence","recordedBy","recordNumb","fieldNumbe","eventDate","year","month","day","basisOfRec","locality","locationRe","island","stateProvi","country","countryCod","decimalLat","decimalLon","coordinate","georeferen","georefer_1","georefer_2","georefer_3","habitat","verbatimDe","verbatimEl","occurren_1","samplingPr","occurren_2","individual","sex","establishm","provincial","nationalSt","identified","identifica","identifi_1","previousId","bibliograp","associated"
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,NA,"Pinaceae","Abies",NA,"Abies amabilis","","species","E","E","20160478","","http://data.rbge.org.uk/living/20160478","Edinburgh, Howick Expedition to British Columbia (EHBC)","13",NA,"2016-08-25",2016,8,25,"LIVING_SPECIMEN","Forest service road to Dakota Bog, Mt Elphinstone",NA,NA,"British Columbia","Canada","CA",49.498333,-123.578333,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,NA,"Pinaceae","Abies",NA,"Abies amabilis","","species","E","E","20160477","","http://data.rbge.org.uk/living/20160477","Edinburgh, Howick Expedition to British Columbia (EHBC)","12",NA,"2016-08-25",2016,8,25,"LIVING_SPECIMEN","Forest service road to Dakota Bog, Mt Elphinstone",NA,NA,"British Columbia","Canada","CA",49.497778,-123.578889,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,NA,"Pinaceae","Abies",NA,"Abies amabilis","","species","E","E","E01021493","","http://data.rbge.org.uk/herb/E01021493","Edinburgh, Howick Expedition to British Columbia (EHBC)","12",NA,"2016-08-25",2016,8,25,"PRESERVED_SPECIMEN","Forest service road to Dakota Bog, Mt Elphinstone",NA,NA,"British Columbia","Canada","CA",49.497778,-123.578889,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,NA,"Pinaceae","Abies",NA,"Abies amabilis","","species","iNaturalist","Observations","127179772","","https://www.inaturalist.org/observations/127179772","Rand Rudland","",NA,"2022-07-20",2022,7,20,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.493145,-123.581872,430,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"FreckLes",NA,NA,NA,NA,NA
"Athyrium filix-femina var. cyclosorum","(L.) Roth",52669,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","",NA,NA,"Athyriaceae","Athyrium",NA,"Athyrium filix-femina","cyclosorum","varietas","iNaturalist","Observations","131687930","","https://www.inaturalist.org/observations/131687930","Rand Rudland","",NA,"2022-08-20",2022,8,20,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.493145,-123.581872,430,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Rand Rudland",NA,NA,NA,NA,NA
"Athyrium filix-femina var. cyclosorum","(L.) Roth",52669,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","",NA,NA,"Athyriaceae","Athyrium",NA,"Athyrium filix-femina","cyclosorum","varietas","iNaturalist","Observations","131687922","","https://www.inaturalist.org/observations/131687922","Rand Rudland","",NA,"2022-08-20",2022,8,20,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.493145,-123.581872,430,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Rand Rudland",NA,NA,NA,NA,NA
"Gaultheria ovatifolia","A. Gray",77228,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,NA,"Ericaceae","Gaultheria",NA,"Gaultheria ovatifolia","","species","iNaturalist","Observations","127179748","","https://www.inaturalist.org/observations/127179748","Rand Rudland","",NA,"2022-07-20",2022,7,20,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.493145,-123.581872,430,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"Rand Rudland",NA,NA,NA,NA,NA
"Gentiana sceptrum","Griseb.",77244,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","",NA,NA,"Gentianaceae","Gentiana",NA,"Gentiana sceptrum","","species","iNaturalist","Observations","88773728","","https://www.inaturalist.org/observations/88773728","Rand Rudland","",NA,"2021-07-26",2021,7,26,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.493145,-123.581872,430,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"Rand Rudland",NA,NA,NA,NA,NA
"Gentiana sceptrum","Griseb.",77244,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","",NA,NA,"Gentianaceae","Gentiana",NA,"Gentiana sceptrum","","species","iNaturalist","Observations","90141502","","https://www.inaturalist.org/observations/90141502","pumakit","",NA,"2021-08-05",2021,8,5,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.493468,-123.578892,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"pumakit",NA,NA,NA,NA,NA
"Gentiana sceptrum","Griseb.",77244,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","",NA,NA,"Gentianaceae","Gentiana",NA,"Gentiana sceptrum","","species","iNaturalist","Observations","54334770","","https://www.inaturalist.org/observations/54334770","Rand Rudland","",NA,"2020-07-25",2020,7,25,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.493249,-123.579631,4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"Rand Rudland",NA,NA,NA,NA,NA
