"","scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"1","× Elyhordeum stebbinsianum","(Bowden) Bowden","","purple wildrye","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Poaceae","Pooidiae",NA,"× Elyhordeum ","","× Elyhordeum stebbinsianum","","","native","SNA",NA,"2018-07-14","Frank Lomer; Judith Holm","BABY","BABY-11514",NA,"2018-07-14","Frank Lomer; Judith Holm","BABY","BABY-11514",NA,3,"new 2018","unobserved","",1435202,"VAS"
"2","Abies amabilis","Douglas ex J. Forbes","","Pacific silver fir","Plantae","Tracheophyta","",NA,"Pinopsida","","","Pinales","",NA,"Pinaceae","",NA,"Abies","Abies amabilis","","","","native","S5 (2015)",NA,"1912-08-16","John Davidson","UBC","V5324",NA,"2022-10-18","FreckLes","iNaturalist","139300026",NA,90,"confirmed","observed","",75240,"VAS"
"3","Abies grandis","(Douglas ex D. Don) Lindl.","","grand fir","Plantae","Tracheophyta","",NA,"Pinopsida","","","Pinales","",NA,"Pinaceae","",NA,"Abies","Abies grandis","","","","native","S5 (2015)",NA,"2018-12-07","Ben Keen","iNaturalist","18883970",NA,"2022-10-26","Joshua","iNaturalist","140063961",NA,33,"new 2018","observed","",63690,"VAS"
"4","Abies lasiocarpa","(Hooker) Nuttall","","subalpine fir","Plantae","Tracheophyta","",NA,"Pinopsida","","","Pinales","",NA,"Pinaceae","",NA,"Abies","Abies lasiocarpa","","","","native","S5 (2015)",NA,"2017-08-29","Adam Huggins","iNaturalist","7711999",NA,"2022-10-15","student_of_life","iNaturalist","138982646",NA,18,"new 2017","observed","",75241,"VAS"
"5","Acer circinatum","Pursh","","vine maple","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Sapindales","",NA,"Sapindaceae","",NA,"Acer","Acer circinatum","","","","native","S5 (2015)",NA,"1975-09-14","Richard Hebda","UBC","V162053",NA,"2022-11-12","karinadsj","iNaturalist","142000848",NA,90,"confirmed","observed","",48258,"VAS"
"6","Acer glabrum var. douglasii","Torr.","(Hook.) Dippel","Douglas’ maple","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Sapindales","",NA,"Sapindaceae","",NA,"Acer","Acer glabrum","","","douglasii","native","S5 (2015)",NA,"1912-08-06","John Davidson","CPNWH","2468436",NA,"2022-06-06","Jens-Christian Svenning","iNaturalist","120539903",NA,18,"confirmed","observed","",181694,"VAS"
"7","Acer macrophyllum","Pursh","","bigleaf maple","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Sapindales","",NA,"Sapindaceae","",NA,"Acer","Acer macrophyllum","","","","native","S5 (2015)",NA,"1993-01-01","MacPhail, J. & Woodward, R.","E","19941712",NA,"2022-11-20","Guerric Haché","iNaturalist","142490818",NA,151,"confirmed","observed","",48227,"VAS"
"8","Achnatherum hymenoides","(Roem. & Schult.) Barkworth","","indian ricegrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Poaceae","Pooidiae",NA,"Achnatherum","Achnatherum hymenoides","","","","native","S4 (2015)",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:7",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:7",NA,1,"new 2020","unobserved","UBC: Bowen Island Mt. Gardner",117413,"VAS"
"9","Acmispon parviflorus","(Benth.) D.D. Sokoloff","","short-flower deervetch","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Fabales","",NA,"Fabaceae","Faboideae",NA,"Acmispon","Acmispon parviflorus","","","","native","S4S5 (2019)",NA,"1981-05-13","Adolf Ceska; Oldriska Ceska; Robert Ogilvie","RBCM","V154855",NA,"2022-05-08","Ben Keen","iNaturalist","116164952",NA,5,"confirmed","observed","",57048,"VAS"
"10","Actaea rubra","(Alton) Willd.","","red baneberry","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ranunculales","",NA,"Ranunculaceae","Ranunculoideae",NA,"Actaea","Actaea rubra","","","","native","S5 (2019)",NA,"2018-08-06","FreckLes","iNaturalist","88355811",NA,"2022-06-26","Lyrae","iNaturalist","125196456",NA,13,"new 2018","observed","",49870,"VAS"
"11","Adenocaulon bicolor","Hook.","","american trailplant","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Mutisioideae",NA,"Adenocaulon","Adenocaulon bicolor","","","","native","S5 (2015)",NA,"1984-08-14","Bruce A. Bohm","UBC","V194653",NA,"2022-09-08","Megan Blackmore","iNaturalist","134267133",NA,28,"confirmed","observed","",56854,"VAS"
"12","Adiantum aleuticum var. aleuticum","(Rupr.) Paris","","western maidenhair fern","Plantae","Tracheophyta","",NA,"Polypodiopsida","Polypodiidae","","Polypodiales","",NA,"Pteridaceae","",NA,"Adiantum","Adiantum aleuticum","","","aleuticum","native","S4 (2012)",NA,"1963-10-23","Thomas M.C. Taylor","UBC","V104640",NA,"2022-11-18","Maleen Mund","iNaturalist","142635270",NA,105,"confirmed","observed","",52667,"VAS"
"13","Agoseris aurantiaca var. aurantiaca","(Hook.) Greene","","orange agoseris","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Cichorioideae",NA,"Agoseris","Agoseris aurantiaca","","","aurantiaca","native","S5 (2015)",NA,"1912-08-10","John Davidson","UBC","V44810",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:12",NA,9,"reported","unobserved","",75302,"VAS"
"14","Agoseris glauca","(Pursh) Raf.","","short-beaked agoseris","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Cichorioideae",NA,"Agoseris","Agoseris glauca","","","","native","S5",NA,"1964-09-20","Vladimir J. Krajina, R.C. Brooke","UBC","V108844",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:13",NA,3,"reported","unobserved","",75303,"VAS"
"15","Agrostis aequivalvis","(Trin.) Scribn. & Merr.","","northern bentgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Poaceae","Pooidiae",NA,"Agrostis","Agrostis aequivalvis","","","","native","S5 (2000)",NA,"1912-07-12","John Davidson","RBCM","V048262",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:14",NA,3,"reported","unobserved","Reported as: Podagrostis aequivalvis; iNat: needs i.d.",158130,"VAS"
"16","Agrostis exarata","Trin.","","Pacific bentgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Poaceae","Pooidiae",NA,"Agrostis","Agrostis exarata","","","","native","S5 (2015)",NA,"1965-01-01","B. Fraser","UBC","V198398",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:15",NA,12,"reported","unobserved","",59088,"VAS"
"17","Agrostis humilis","(Vasey) Björkman","","alpine bentgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Poaceae","Pooidiae",NA,"Agrostis","Agrostis humilis","","","","native","S5 (2019)",NA,"1914-01-01","John Davidson","RBCM","V048271",NA,"1969-09-05","T. Brayshaw","RBCM","V055006",NA,8,"reported","unobserved","UBC: Garibaldi PP Barrier Lake, Podagrostis humilis entered as iNaturalist taxonomy.",75316,"VAS"
"18","Agrostis mertensii","Trin.","","Arctic bentgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Poaceae","Pooideae",NA,"Agrostis","Agrostis mertensii","","","","native","S5 (2015)",NA,"1941-07-28","Vernon C. Brink","UBC","V136911",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:16",NA,2,"reported","unobserved","iNat: needs i.d.",158138,"VAS"
