"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","temp_id","yearRecorded","protectedArea","IUCN_CAT","OECM","protectedAreaType","GOV_TYPE","OWNER_E","IUCN_Categ","decimalLatitude","decimalLongitude"
"Aquilegia formosa","Fisch. ex DC.",48244,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","",NA,NA,"Ranunculaceae","Aquilegia",NA,"Aquilegia formosa","","species","iNaturalist","Observations","26102508","","https://www.inaturalist.org/observations/26102508","Samantha Leigh","",NA,"2019-05-30",2019,5,30,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",132,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Samantha Leigh",NA,NA,NA,NA,NA,1397,2019,"Este-Tiwilh/Sigurd Creek Conservancy","II","No","Conservancy","Sub-national Government","Government of British Columbia","II",49.899971,-123.327655
"Chimaphila menziesii","(R. Br. ex D. Don) Spreng",62238,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,NA,"Ericaceae","Chimaphila",NA,"Chimaphila menziesii","","species","iNaturalist","Observations","85161150","","https://www.inaturalist.org/observations/85161150","kristinop","",NA,"2021-06-30",2021,6,30,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",62,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"kristinop",NA,NA,NA,NA,NA,3476,2021,"Este-Tiwilh/Sigurd Creek Conservancy","II","No","Conservancy","Sub-national Government","Government of British Columbia","II",49.900475,-123.328003
"Chimaphila umbellata","(L.) W.P.C. Barton",62236,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,NA,"Ericaceae","Chimaphila",NA,"Chimaphila umbellata","","species","iNaturalist","Observations","130956392","","https://www.inaturalist.org/observations/130956392","laurenmckenna1206","",NA,"2022-08-14",2022,8,14,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",109,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"laurenmckenna1206",NA,NA,NA,NA,NA,3498,2022,"Este-Tiwilh/Sigurd Creek Conservancy","II","No","Conservancy","Sub-national Government","Government of British Columbia","II",49.894838,-123.340088
"Clintonia uniflora","(Menzies ex Schult. & Schult. f.) Kunth",76401,"Plantae","Tracheophyta","Liliopsida","Liliales","",NA,NA,"Liliaceae","Clintonia",NA,"Clintonia uniflora","","species","iNaturalist","Observations","85161130","","https://www.inaturalist.org/observations/85161130","kristinop","",NA,"2021-06-30",2021,6,30,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",43,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"kristinop",NA,NA,NA,NA,NA,3852,2021,"Este-Tiwilh/Sigurd Creek Conservancy","II","No","Conservancy","Sub-national Government","Government of British Columbia","II",49.898288,-123.325417
"Linnaea borealis ssp. longiflora","L.",81026,"Plantae","Tracheophyta","Magnoliopsida","Dipsacales","",NA,NA,"Caprifoliaceae","Linnaea",NA,"Linnaea borealis","longiflora","subspecies","iNaturalist","Observations","85161003","","https://www.inaturalist.org/observations/85161003","kristinop","",NA,"2021-06-30",2021,6,30,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",64,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2020)",NA,"kristinop",NA,NA,NA,NA,NA,8633,2021,"Este-Tiwilh/Sigurd Creek Conservancy","II","No","Conservancy","Sub-national Government","Government of British Columbia","II",49.899295,-123.326303
"Lycopodium clavatum","L.",77914,"Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","",NA,NA,"Lycopodiaceae","Lycopodium",NA,"Lycopodium clavatum","","species","iNaturalist","Observations","130956877","","https://www.inaturalist.org/observations/130956877","laurenmckenna1206","",NA,"2022-08-14",2022,8,14,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",19,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Timothy McNitt",NA,NA,NA,NA,NA,9156,2022,"Este-Tiwilh/Sigurd Creek Conservancy","II","No","Conservancy","Sub-national Government","Government of British Columbia","II",49.898925,-123.329803
"Pseudotsuga menziesii var. menziesii","(Mirb.) Franco",48256,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,NA,"Pinaceae","Pseudotsuga",NA,"Pseudotsuga menziesii","menziesii","varietas","iNaturalist","Observations","101118118","","https://www.inaturalist.org/observations/101118118","Steve Ansell","",NA,"2021-11-13",2021,11,13,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",25,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"Steve Ansell",NA,NA,NA,NA,NA,13136,2021,"Este-Tiwilh/Sigurd Creek Conservancy","II","No","Conservancy","Sub-national Government","Government of British Columbia","II",49.900169,-123.326447
