"","scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"20","Allotropa virgata","Torr. & A. Gray","","sugarstick","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ericales","",NA,"Ericaceae","Monotropoideae",NA,"Allotropa","Allotropa virgata","","","","native","S3S4 (2015)",NA,"1914-06-29","Fred Perry","UBC","V45437",NA,"2022-06-19","ericaharvey6","iNaturalist","122538582",NA,17,"confirmed","observed","",62481,"VAS"
"21","Alnus alnobetula ssp. sinuata","(Ehrh.) K.Koch","(Regel) Raus","Sitka Alder","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Fagales","",NA,"Betulaceae","",NA,"Alnus","Alnus alnobetula","","sinuata","","native","S5 (2000)",NA,"1912-04-13","John Davidson","UBC","V6677",NA,"2022-08-29","zhiyue","iNaturalist","132845657",NA,47,"confirmed","observed","UBC & LGL: Alnus viridis ssp. sinuata",939032,"VAS"
"22","Alnus rubra","Bong.","","red alder","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Fagales","",NA,"Betulaceae","",NA,"Alnus","Alnus rubra","","","","native","S5 (2015)",NA,"1975-09-07","Richard Hebda","UBC","V162051",NA,"2022-11-27","spea","iNaturalist","143094989",NA,95,"confirmed","observed","",56034,"VAS"
"23","Amelanchier alnifolia","(Nutt.) Nutt. ex M. Roem.","","saskatoon","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Rosales","",NA,"Rosaceae","",NA,"Amelanchier","Amelanchier alnifolia","","","","native","S4S5 (2001)",NA,"1912-05-02","W. Taylor","UBC","V80603",NA,"2022-11-20","Guerric Haché","iNaturalist","142484407",NA,147,"confirmed","observed","",75415,"VAS"
"24","Anaphalis margaritacea","(L.) Benth. & Hook.","","pearly everlasting","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Anaphalis","Anaphalis margaritacea","","","","native","S5 (2015)",NA,"1951-07-28","W. Cottle","UBC","V27384",NA,"2022-10-11","beccamelville","iNaturalist","138583153",NA,174,"confirmed","observed","",52833,"VAS"
"25","Angelica lucida","L.","","sea-watch","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Apiales","",NA,"Apiaceae","Apioideae",NA,"Angelica","Angelica lucida","","","","native","S5 (2015)",NA,"2004-08-12","Nick Page","Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report","NPAGE2004:19",NA,"2022-09-25","Jane Pendray","iNaturalist","136628858",NA,11,"confirmed","observed","",75453,"VAS"
"26","Antennaria alpina","(L.) Gaertn.","","alpine pussytoes","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Antennaria","Antennaria alpina","","","","native","S5 (2015)",NA,"1964-09-20","Vladimir J. Krajina, R.C. Brooke","UBC","V108846",NA,"1966-08-01","B. Fraser","UBC","V158269",NA,2,"reported","unobserved","UBC:  Antennaria pallida",154163,"VAS"
"27","Antennaria media","Greene","","dark pussytoes","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Antennaria","Antennaria media","","","","native","S5 (2019)",NA,"1951-08-01","M.R. Jackson","UBC","V47584",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:31",NA,6,"reported","unobserved","",75466,"VAS"
"28","Antennaria rosea","Greene","","rosy pussytoes","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Antennaria","Antennaria rosea","","","","native","SNR (2015)",NA,"1913-08-03","H. Sampson","UBC","V190638",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:33",NA,6,"confirmed","observed","iNat: needs i.d.",53096,"VAS"
"29","Antennaria umbrinella","Rydb.","","umber pussytoes","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Antennaria","Antennaria umbrinella","","","","native","S5 (2019)",NA,"1912-07-12","John Davidson","UBC","V44832",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:34",NA,3,"reported","unobserved","",75471,"VAS"
"30","Anthoxanthum hirtum","(Schrank) Y. Schouten & Veldkamp","","northern sweetgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Poaceae","Pooidiae",NA,"Anthoxanthum","Anthoxanthum hirtum","","","","native","S5 (2015)",NA,"1997-05-18","Gerald B. Straley","UBC","V226206",NA,"2019-05-26","citizen1","iNaturalist","26127747",NA,3,"confirmed","observed","Gerald B. Straley reports syn. Anthoxanthum nitens (V226206)",204239,"VAS"
"31","Aquilegia formosa","Fisch. ex DC.","","western columbine","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ranunculales","",NA,"Ranunculaceae","Thalictroideae",NA,"Aquilegia","Aquilegia formosa","","","","native","S5 (2015)",NA,"1912-08-15","John Davidson","UBC","V35984",NA,"2022-08-22","kristinop","iNaturalist","132107369",NA,64,"confirmed","observed","",48244,"VAS"
"32","Arbutus menziesii","Pursh","","arbutus","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ericales","",NA,"Ericaceae","Arbutoideae",NA,"Arbutus","Arbutus menziesii","","","","native","S4? (2014)",NA,"1958-11-01","A. Jablanczy","UBC","V80828",NA,"2022-11-26","Guerric Haché","iNaturalist","142979448",NA,194,"confirmed","observed","",51046,"VAS"
"33","Arceuthobium tsugense ssp. contortae","(Rosend.) G.N.Jones","Wass & Mathiasen","shore pine dwarf-mistletoe","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Santalales","",NA,"Santalaceae","",NA,"Arceuthobium","Arceuthobium tsugense","","contortae","","native","S4 (2017)",NA,"2014-07-26","Else Mikkelsen","iNaturalist","9228336",NA,"2020-11-21","leslielb416","iNaturalist","65421275",NA,2,"confirmed","observed","",234332,"VAS"
"34","Arctostaphylos uva-ursi","(L.) Spreng.","","bearberry","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ericales","",NA,"Ericaceae","Arbutoideae",NA,"Arctostaphylos","Arctostaphylos uva-ursi","","","","native","S5 (2015)",NA,"1912-08-11","John Davidson","UBC","V15837",NA,"2022-11-20","Guerric Haché","iNaturalist","142484921",NA,76,"confirmed","observed","",68049,"VAS"
"35","Argentina anserina","(L.) Rydb.","","common silverweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Rosales","",NA,"Rosaceae","Rosoideae",NA,"Argentina","Argentina anserina","","","","native","S5 (2000)",NA,"2007-05-31","Gwen L'Hirondelle","iNaturalist","41864290",NA,"2022-07-23","Jani","iNaturalist","127588985",NA,14,"confirmed","observed","",158615,"VAS"
"36","Argentina pacifica","(Howell) Rydb.","","pacific silverweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Rosales","",NA,"Rosaceae","Rosoideae",NA,"Argentina","Argentina pacifica","","","","native","S5 (2000)",NA,"2004-08-12","Nick Page","Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report","NPAGE2004:1",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:42",NA,2,"reported","unobserved","Reported as: Potentilla anserina ssp. pacifica ; iNat: needs i.d. taxonomy not settled",524900,"VAS"
"37","Arnica cordifolia","Hook.","","heartleaf arnica","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Arnica","Arnica cordifolia","","","","native","S5 (2015)",NA,"1956-08-07","Vernon C. Brink","UBC","V55449",NA,"2020-10-02","John D Reynolds","iNaturalist","62164205",NA,4,"confirmed","observed","",75569,"VAS"
"38","Arnica gracilis","Rydb.","","slender leopardbane","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Arnica","Arnica gracilis","","","","native","S5 (2000)",NA,"1961-08-19","E.B. Peterson","UBC","V97820",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:45",NA,2,"reported","unobserved","",158686,"VAS"
"39","Arnica lanceolata ssp. prima","Nutt.","(Maguire) Strother & S.J.Wolf","clasping arnica","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Arnica","Arnica lanceolata","","prima","","native","S5? (2015)",NA,"1951-09-11","W. Cottle","UBC","V27388",NA,"2020-08-26","citizen1","iNaturalist","58124893",NA,5,"confirmed","observed","",79623,"VAS"
"40","Arnica latifolia","Bong.","","broadleaf arnica","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Arnica","Arnica latifolia","","","","native","S5 (2015)",NA,"1951-07-21","W. Cottle","UBC","V27389",NA,"2022-10-16","daisyhaus","iNaturalist","139705378",NA,37,"confirmed","observed","",75573,"VAS"
"41","Arnica parryi","A. Gray","","nodding arnica","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Arnica","Arnica parryi","","","","native","S5 (2015)",NA,"1912-08-13","John Davidson","UBC","V9224",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:48",NA,2,"reported","unobserved","",75578,"VAS"
"42","Arnica rydbergii","Greene","","subalpine arnica","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Arnica","Arnica rydbergii","","","","native","S5 (2019)",NA,"2019-08-24","Kelly Fretwell","iNaturalist","31817915",NA,"2019-08-24","Kelly Fretwell","iNaturalist","31817915",NA,1,"new 2019","observed","",153042,"VAS"
"43","Artemisia norvegica ssp. saxatilis","Fr.","(Besser) H.M.Hall & Clem.","Norwegian mugwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Artemisia","Artemisia norvegica","","saxatilis","","native","S5 (2015)",NA,"1912-08-01","John Davidson","UBC","V9353",NA,"2021-08-09","Adam Huggins","iNaturalist","90955256",NA,7,"confirmed","observed","",79631,"VAS"
"44","Aruncus dioicus var. acuminatus","(Walter) Fernald","(Douglas ex Hook.) H.Hara","goatsbeard","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Rosales","",NA,"Rosaceae","",NA,"Aruncus","Aruncus dioicus","","","acuminatus","native","S5 (2015)",NA,"1967-06-04","Pat Warrington","University of Lethbridge","",NA,"2022-08-26","John D Reynolds","iNaturalist","133785584",NA,72,"confirmed","observed","Reported as Aruncus sylvester by Pat Warrington (University of Lethbridge, GBIF 2022 dataset)",80381,"VAS"
"45","Asarum caudatum","Lindl.","","western wild ginger","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Piperales","",NA,"Aristolochiaceae","",NA,"Asarum","Asarum caudatum","","","","native","S5 (2015)",NA,"1960-05-24","L. Orloci","UBC","V90721",NA,"2022-08-11","lauramaypollock","iNaturalist","130434021",NA,33,"confirmed","observed","",52858,"VAS"
"46","Askellia pygmaea","(Richardson) W.A. Weber","","dwarf alpine hawks-beard","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Cichorioideae",NA,"Askellia","Askellia pygmaea","","","","native","S4S5 (2015)",NA,"1965-08-06","B. Fraser","UBC","V158322",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:52",NA,4,"reported","unobserved","UBC & LGL: Crepis nana",76477,"VAS"
"47","Aspidotis densa","(Brack.) Lellinger","","serpentine fern","Plantae","Tracheophyta","",NA,"Polypodiopsida","Polypodiidae","","Polypodiales","",NA,"Pteridaceae","Cheilanthoideae",NA,"Aspidotis","Aspidotis densa","","","","native","S5 (2015)",NA,"1993-05-24","Terry Taylor","RBCM","V182028",NA,"2022-05-31","Steve Ansell","iNaturalist","119830405",NA,11,"confirmed","observed","",63868,"VAS"
"48","Asplenium trichomanes","L.","","maidenhair spleenwort","Plantae","Tracheophyta","",NA,"Polypodiopsida","Polypodiidae","","Polypodiales","",NA,"Aspleniaceae","",NA,"Asplenium","Asplenium trichomanes","","","","native","S5 (2020)",NA,"1946-04-13","Thomas M.C. Taylor","UBC","V51390",NA,"2022-12-04","Ben Keen","iNaturalist","143685643",NA,79,"confirmed","observed","",75609,"VAS"
"49","Athyrium distentifolium ssp. americanum","Tausch ex Opiz","(Butters) Hultén","American alpine lady fern","Plantae","Tracheophyta","Angiospermae",NA,"Polypodiopsida","","","Polypodiales","",NA,"Athyriaceae","",NA,"Athyrium","Athyrium distentifolium","","americanum","","native","S5 (2015)",NA,"1960-08-16","E.B. Peterson","UBC","V100639",NA,"2021-08-06","Stephen Hui","iNaturalist","90265313",NA,9,"confirmed","observed","UBC: Athyrium alpestre subsp. americanum",80451,"VAS"
"50","Athyrium filix-femina var. cyclosorum","(L.) Roth","Rupr.","lady fern","Plantae","Tracheophyta","Angiospermae",NA,"Polypodiopsida","","","Polypodiales","",NA,"Athyriaceae","",NA,"Athyrium","Athyrium filix-femina","","","cyclosorum","native","S5 (2015)",NA,"1951-08-02","M.R. Jackson","UBC","V47534",NA,"2022-09-10","jessiemcfadden","iNaturalist","135292274",NA,134,"confirmed","observed","",52669,"VAS"
"51","Barbarea orthoceras","Ledeb.","","American yellowrocket","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Brassicales","",NA,"Brassicaceae","",NA,"Barbarea","Barbarea orthoceras","","","","native","S5 (2015)",NA,"1961-05-25","Katherine I. Beamish, Freek Vrugtman","UBC","V101048",NA,"2021-05-19","eschott","iNaturalist","81660785",NA,10,"confirmed","observed","",52976,"VAS"
"52","Berberis aquifolium","Pursh","","oregon-grape","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ranunculales","",NA,"Berberidaceae","Berberidoideae",NA,"Berberis","Berberis aquifolium","","","","native","S5 (2015)",NA,"2013-04-20","hillanddale","iNaturalist","9532805",NA,"2022-11-26","spea","iNaturalist","142959693",NA,45,"confirmed","observed","",126887,"VAS"
"53","Berberis nervosa","Pursh","","dull oregon-grape","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ranunculales","",NA,"Berberidaceae","Berberidoideae",NA,"Berberis","Berberis nervosa","","","","native","S5 (2000)",NA,"1967-06-24","P. Warrington","University of Lethbridge","",NA,"2022-12-01","sandragon749","iNaturalist","143502101",NA,233,"confirmed","observed","",75756,"VAS"
"54","Betula papyrifera","Marshall","","paper birch","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Fagales","",NA,"Betulaceae","",NA,"Betula","Betula papyrifera","","","","native","S4 (2001)",NA,"1961-05-25","Katherine I. Beamish, Freek Vrugtman","UBC","V136540",NA,"2022-01-18","linneamargaret","iNaturalist","105226986",NA,11,"confirmed","observed","Includes Betula papyrifera var. commutata (UBC: V136540) and Betula papyrifera var. papyrifera",49883,"VAS"
"55","Bidens amplissima","Greene","","Vancouver Island beggarticks","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Bidens","Bidens amplissima","","","","native","S3 (2015)",NA,"2004-08-12","Nick Page","Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report","NPAGE2004:18",NA,"2021-08-28","Chloe and Trevor Van Loon","iNaturalist","93188625",NA,7,"confirmed","observed","",159233,"VAS"
"56","Bidens cernua","L.","","nodding beggarticks","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Asteroideae",NA,"Bidens","Bidens cernua","","","","native","S5 (2015)",NA,"2022-09-05","Roslyn","iNaturalist","133860655",NA,"2022-09-05","Roslyn","iNaturalist","133860655",NA,1,"new 2022","observed","",75765,"VAS"
"57","Bistorta vivipara","(L.) Delarbre","","alpine bistort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Caryophyllales","",NA,"Polygonaceae","",NA,"Bistorta","Bistorta vivipara","","","","native","S5 (2015)",NA,"1913-08-03","W. Taylor","UBC","V47384",NA,"1917-08-10","John Davidson","UBC","V35634",NA,2,"reported","unobserved","",130545,"VAS"
"58","Boechera calderi","(G. A. Mulligan) Windham & Al-Shehbaz","","Calder's suncress","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Brassicales","",NA,"Brassicaceae","",NA,"Boechera","Boechera calderi","","","","native","S5 (2019)",NA,"1926-10-08","George Hardy","RBCM","V008032",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:63",NA,5,"reported","unobserved","",75780,"VAS"
