"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","temp_id","yearRecorded","protectedArea","IUCN_CAT","OECM","protectedAreaType","GOV_TYPE","OWNER_E","IUCN_Categ","decimalLatitude","decimalLongitude"
"Athyrium distentifolium ssp. americanum","Tausch ex Opiz",80451,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","",NA,NA,"Athyriaceae","Athyrium",NA,"Athyrium distentifolium","americanum","subspecies","iNaturalist","Observations","14759544","","https://www.inaturalist.org/observations/14759544","Samantha Leigh","",NA,"2018-07-22",2018,7,22,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",1052,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Samantha Leigh",NA,NA,NA,NA,NA,2047,2018,"Sea To Sky Wildland Zones","N/A","Yes","Sea To Sky Wildland Zones","Sub-national Government","Government of British Columbia","OECM",49.650075,-123.077464
"Cassiope mertensiana ssp. mertensiana","(Bong.) D. Don",126554,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,NA,"Ericaceae","Cassiope",NA,"Cassiope mertensiana","mertensiana","subspecies","iNaturalist","Observations","14758282","","https://www.inaturalist.org/observations/14758282","Samantha Leigh","",NA,"2018-07-22",2018,7,22,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"Samantha Leigh",NA,NA,NA,NA,NA,3103,2018,"Sea To Sky Wildland Zones","N/A","Yes","Sea To Sky Wildland Zones","Sub-national Government","Government of British Columbia","OECM",49.645,-123.080559
"Chamaenerion latifolium","(L.) Sweet",564970,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","",NA,NA,"Onagraceae","Chamaenerion",NA,"Chamaenerion latifolium","","species","iNaturalist","Observations","143502546","","https://www.inaturalist.org/observations/143502546","ellika_cairns","",NA,"2021-09-01",2021,9,1,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",86,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Cole Gaerber",NA,NA,NA,NA,NA,3412,2021,"Sea To Sky Wildland Zones","N/A","Yes","Sea To Sky Wildland Zones","Sub-national Government","Government of British Columbia","OECM",49.644176,-123.088236
"Euthamia graminifolia","(L.) Nutt.",130989,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,NA,"Asteraceae","Euthamia",NA,"Euthamia graminifolia","","species","iNaturalist","Observations","93952097","","https://www.inaturalist.org/observations/93952097","Chloe and Trevor Van Loon","",NA,"2021-08-28",2021,8,28,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",26486,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S3S4 (2015)",NA,"Chloe and Trevor Van Loon",NA,NA,NA,NA,NA,6013,2021,"Sea To Sky Wildland Zones","N/A","Yes","Sea To Sky Wildland Zones","Sub-national Government","Government of British Columbia","OECM",49.65157,-123.06817
"Luetkea pectinata","(Pursh) Kuntze.",77842,"Plantae","Tracheophyta","Magnoliopsida","Rosales","",NA,NA,"Rosaceae","Luetkea",NA,"Luetkea pectinata","","species","iNaturalist","Observations","91480457","","https://www.inaturalist.org/observations/91480457","Matt M","",NA,"2021-08-03",2021,8,3,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",24,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Matt M",NA,NA,NA,NA,NA,8888,2021,"Sea To Sky Wildland Zones","N/A","Yes","Sea To Sky Wildland Zones","Sub-national Government","Government of British Columbia","OECM",49.673942,-123.104303
"Luetkea pectinata","(Pursh) Kuntze.",77842,"Plantae","Tracheophyta","Magnoliopsida","Rosales","",NA,NA,"Rosaceae","Luetkea",NA,"Luetkea pectinata","","species","iNaturalist","Observations","14758493","","https://www.inaturalist.org/observations/14758493","Samantha Leigh","",NA,"2018-07-22",2018,7,22,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Samantha Leigh",NA,NA,NA,NA,NA,8971,2018,"Sea To Sky Wildland Zones","N/A","Yes","Sea To Sky Wildland Zones","Sub-national Government","Government of British Columbia","OECM",49.645279,-123.081108
"Micranthes ferruginea","(Graham) Brouillet & Gornall",78024,"Plantae","Tracheophyta","Magnoliopsida","Saxifragales","",NA,NA,"Saxifragaceae","Micranthes",NA,"Micranthes ferruginea","","species","iNaturalist","Observations","14758228","","https://www.inaturalist.org/observations/14758228","Samantha Leigh","",NA,"2018-07-22",2018,7,22,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"citizen1",NA,NA,NA,NA,NA,9897,2018,"Sea To Sky Wildland Zones","N/A","Yes","Sea To Sky Wildland Zones","Sub-national Government","Government of British Columbia","OECM",49.645279,-123.080559
"Monotropa hypopitys","L.",59986,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,NA,"Ericaceae","Monotropa",NA,"Monotropa hypopitys","","species","iNaturalist","Observations","97463249","","https://www.inaturalist.org/observations/97463249","nnhenderson","",NA,"2020-07-11",2020,7,11,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",2534179,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S3S4 (2001)",NA,"David",NA,NA,NA,NA,NA,10104,2020,"Sea To Sky Wildland Zones","N/A","Yes","Sea To Sky Wildland Zones","Sub-national Government","Government of British Columbia","OECM",49.617154,-123.098618
"Phegopteris connectilis","(Michx.) Watt",122082,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","",NA,NA,"Thelypteridaceae","Phegopteris",NA,"Phegopteris connectilis","","species","iNaturalist","Observations","82963513","","https://www.inaturalist.org/observations/82963513","Rachel Munger","",NA,"2021-06-13",2021,6,13,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",9948,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"Rachel Munger",NA,NA,NA,NA,NA,11282,2021,"Sea To Sky Wildland Zones","N/A","Yes","Sea To Sky Wildland Zones","Sub-national Government","Government of British Columbia","OECM",49.634808,-123.141945
"Phyllodoce empetriformis","(Sm.) D. Don",78560,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,NA,"Ericaceae","Phyllodoce",NA,"Phyllodoce empetriformis","","species","iNaturalist","Observations","14758298","","https://www.inaturalist.org/observations/14758298","Samantha Leigh","",NA,"2018-07-22",2018,7,22,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2014)",NA,"Samantha Leigh",NA,NA,NA,NA,NA,11361,2018,"Sea To Sky Wildland Zones","N/A","Yes","Sea To Sky Wildland Zones","Sub-national Government","Government of British Columbia","OECM",49.645279,-123.080559
