"scientificName","scientificNameAuthority","taxonID","kingdom","phylum","class","order","subordr","infrrdr","family","genus","subgens","spcfcEp","infrspE","taxnRnk","instttC","cllctnC","ctlgNmb","datstNm","occrrID","rcrddBy","rcrdNmb","fldNmbr","eventDt","year","month","day","bssOfRc","localty","lctnRmr","island","sttPrvn","country","cntryCd","crdnUIM","grfrncB","grfrnVS","grfrncP","grfrncR","habitat","vrbtmDp","vrbtmEl","occrrnS","smplngP","occrrnR","indvdlC","sex","estblsM","prvnclS","ntnlStt","idntfdB","idntfcQ","idntfcR","prvsIdn","bblgrpC","assctdR","latitud","longitd"
"Montia parvifolia","(Moc. ex DC.) Greene",78123,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales",NA,NA,"Montiaceae","Montia",NA,"Montia parvifolia",NA,"species","iNaturalist","Observations","99136786",NA,"https://www.inaturalist.org/observations/99136786","Stephen Hui",NA,NA,"2021-10-22",2021,10,22,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",5,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Stephen Hui",NA,NA,NA,NA,NA,49.908,-123.19
"Amelanchier alnifolia","(Nutt.) Nutt. ex M. Roem.",75415,"Plantae","Tracheophyta","Magnoliopsida","Rosales",NA,NA,"Rosaceae","Amelanchier",NA,"Amelanchier alnifolia",NA,"species","iNaturalist","Observations","52337213",NA,"https://www.inaturalist.org/observations/52337213","Stephen Hui",NA,NA,"2020-07-04",2020,7,4,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",4,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4S5 (2001)",NA,"Stephen Hui",NA,NA,NA,NA,NA,49.917,-123.17
"Collinsia parviflora","Lindl.",59013,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",NA,NA,"Plantaginaceae","Collinsia",NA,"Collinsia parviflora",NA,"species","iNaturalist","Observations","9551464",NA,"https://www.inaturalist.org/observations/9551464","hillanddale",NA,NA,"2011-05-29",2011,5,29,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",42,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"hillanddale",NA,NA,NA,NA,NA,49.917,-123.17
"Cornus nuttallii","Audubon ex Torr. & A. Gray",76447,"Plantae","Tracheophyta","Magnoliopsida","Cornales",NA,NA,"Cornaceae","Cornus",NA,"Cornus nuttallii",NA,"species","iNaturalist","Observations","9551476",NA,"https://www.inaturalist.org/observations/9551476","hillanddale",NA,NA,"2011-05-29",2011,5,29,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"hillanddale",NA,NA,NA,NA,NA,49.917,-123.17
"Cryptogramma acrostichoides","R. Br.",76536,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Pteridaceae","Cryptogramma",NA,"Cryptogramma acrostichoides",NA,"species","iNaturalist","Observations","52337347",NA,"https://www.inaturalist.org/observations/52337347","Stephen Hui",NA,NA,"2020-07-04",2020,7,4,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",4,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Stephen Hui",NA,NA,NA,NA,NA,49.917,-123.17
"Erythranthe alsinoides","(Benth.) G.L. Nesom & N.S. Fraga",771843,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",NA,NA,"Phrymaceae","Erythranthe",NA,"Erythranthe alsinoides",NA,"species","iNaturalist","Observations","9551225",NA,"https://www.inaturalist.org/observations/9551225","hillanddale",NA,NA,"2011-05-29",2011,5,29,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4? (2015)",NA,"judith holm",NA,NA,NA,NA,NA,49.917,-123.17
"Micranthes ferruginea","(Graham) Brouillet & Gornall",78024,"Plantae","Tracheophyta","Magnoliopsida","Saxifragales",NA,NA,"Saxifragaceae","Micranthes",NA,"Micranthes ferruginea",NA,"species","iNaturalist","Observations","9551258",NA,"https://www.inaturalist.org/observations/9551258","hillanddale",NA,NA,"2011-05-29",2011,5,29,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",42,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"hillanddale",NA,NA,NA,NA,NA,49.917,-123.17
"Paxistima myrsinites","(Pursh.) Raf.",63893,"Plantae","Tracheophyta","Magnoliopsida","Celastrales",NA,NA,"Celastraceae","Paxistima",NA,"Paxistima myrsinites",NA,"species","iNaturalist","Observations","72630975",NA,"https://www.inaturalist.org/observations/72630975","andrewwray",NA,NA,"2021-04-01",2021,4,1,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",4,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"andrewwray",NA,NA,NA,NA,NA,49.917,-123.17
"Vaccinium membranaceum","Douglas ex Torr.",48347,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Vaccinium",NA,"Vaccinium membranaceum",NA,"species","iNaturalist","Observations","52337875",NA,"https://www.inaturalist.org/observations/52337875","Stephen Hui",NA,NA,"2020-07-04",2020,7,4,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",4,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Stephen Hui",NA,NA,NA,NA,NA,49.917,-123.17
"Adiantum aleuticum var. aleuticum","(Rupr.) Paris",52667,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Pteridaceae","Adiantum",NA,"Adiantum aleuticum","aleuticum","varietas","iNaturalist","Observations","45683617",NA,"https://www.inaturalist.org/observations/45683617","Chloe and Trevor Van Loon",NA,NA,"2020-05-09",2020,5,9,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",26454,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2012)",NA,"Chloe and Trevor Van Loon",NA,NA,NA,NA,NA,49.908,-123.17
"Anaphalis margaritacea","(L.) Benth. & Hook.",52833,"Plantae","Tracheophyta","Magnoliopsida","Asterales",NA,NA,"Asteraceae","Anaphalis",NA,"Anaphalis margaritacea",NA,"species","iNaturalist","Observations","86581148",NA,"https://www.inaturalist.org/observations/86581148","matt_youngg",NA,NA,"2021-07-10",2021,7,10,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",12,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"matt_youngg",NA,NA,NA,NA,NA,49.908,-123.17
"Arctostaphylos × media","Greene",181436,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Arctostaphylos",NA,"Arctostaphylos","Arctostaphylos × media","hybrid","iNaturalist","Observations","100112271",NA,"https://www.inaturalist.org/observations/100112271","Steve Ansell",NA,NA,"2021-10-31",2021,10,31,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",4,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,49.908,-123.17
"Arctostaphylos × media","Greene",181436,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Arctostaphylos",NA,"Arctostaphylos","Arctostaphylos × media","hybrid","iNaturalist","Observations","99509155",NA,"https://www.inaturalist.org/observations/99509155","Steve Ansell",NA,NA,"2021-06-07",2021,6,7,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",15,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,49.908,-123.17
"Barbarea orthoceras","Ledeb.",52976,"Plantae","Tracheophyta","Magnoliopsida","Brassicales",NA,NA,"Brassicaceae","Barbarea",NA,"Barbarea orthoceras",NA,"species","iNaturalist","Observations","77500224",NA,"https://www.inaturalist.org/observations/77500224","awalkhouse",NA,NA,"2021-05-05",2021,5,5,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",65,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"awalkhouse",NA,NA,NA,NA,NA,49.908,-123.17
"Buddleja davidii","Franch.",75916,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",NA,NA,"Scrophulariaceae","Buddleja",NA,"Buddleja davidii",NA,"species","iNaturalist","Observations","25949827",NA,"https://www.inaturalist.org/observations/25949827","Jane Pendray",NA,NA,"2019-05-26",2019,5,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",61,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2001)",NA,"Jane Pendray",NA,NA,NA,NA,NA,49.908,-123.17
"Buddleja davidii","Franch.",75916,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",NA,NA,"Scrophulariaceae","Buddleja",NA,"Buddleja davidii",NA,"species","iNaturalist","Observations","86583740",NA,"https://www.inaturalist.org/observations/86583740","matt_youngg",NA,NA,"2021-07-10",2021,7,10,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",128,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2001)",NA,"matt_youngg",NA,NA,NA,NA,NA,49.908,-123.17
"Capnoides sempervirens","(L.) Pers.",204148,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales",NA,NA,"Papaveraceae","Capnoides",NA,"Capnoides sempervirens",NA,"species","iNaturalist","Observations","100112641",NA,"https://www.inaturalist.org/observations/100112641","Steve Ansell",NA,NA,"2021-10-31",2021,10,31,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",25,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,49.908,-123.17
"Capnoides sempervirens","(L.) Pers.",204148,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales",NA,NA,"Papaveraceae","Capnoides",NA,"Capnoides sempervirens",NA,"species","iNaturalist","Observations","82254649",NA,"https://www.inaturalist.org/observations/82254649","Steve Ansell",NA,NA,"2021-06-07",2021,6,7,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",25,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,49.908,-123.17
"Capnoides sempervirens","(L.) Pers.",204148,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales",NA,NA,"Papaveraceae","Capnoides",NA,"Capnoides sempervirens",NA,"species","iNaturalist","Observations","82254421",NA,"https://www.inaturalist.org/observations/82254421","Steve Ansell",NA,NA,"2021-06-07",2021,6,7,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",25,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,49.908,-123.17
"Collinsia parviflora","Lindl.",59013,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",NA,NA,"Plantaginaceae","Collinsia",NA,"Collinsia parviflora",NA,"species","iNaturalist","Observations","82255582",NA,"https://www.inaturalist.org/observations/82255582","Steve Ansell",NA,NA,"2021-06-07",2021,6,7,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",4,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,49.908,-123.17
