"scientificName","scientificNameAuthority","taxonID","kingdom","phylum","class","order","subordr","infrrdr","family","genus","subgens","spcfcEp","infrspE","taxnRnk","instttC","cllctnC","ctlgNmb","datstNm","occrrID","rcrddBy","rcrdNmb","fldNmbr","eventDt","year","month","day","bssOfRc","localty","lctnRmr","island","sttPrvn","country","cntryCd","crdnUIM","grfrncB","grfrnVS","grfrncP","grfrncR","habitat","vrbtmDp","vrbtmEl","occrrnS","smplngP","occrrnR","indvdlC","sex","estblsM","prvnclS","ntnlStt","idntfdB","idntfcQ","idntfcR","prvsIdn","bblgrpC","assctdR","latitud","longitd"
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales",NA,NA,"Pinaceae","Abies",NA,"Abies amabilis",NA,"species","E","E","20160478",NA,"http://data.rbge.org.uk/living/20160478","Edinburgh, Howick Expedition to British Columbia (EHBC)","13",NA,"2016-08-25",2016,8,25,"LIVING_SPECIMEN","Forest service road to Dakota Bog, Mt Elphinstone",NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,NA,NA,NA,NA,NA,NA,49.502,-123.57
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales",NA,NA,"Pinaceae","Abies",NA,"Abies amabilis",NA,"species","E","E","20160477",NA,"http://data.rbge.org.uk/living/20160477","Edinburgh, Howick Expedition to British Columbia (EHBC)","12",NA,"2016-08-25",2016,8,25,"LIVING_SPECIMEN","Forest service road to Dakota Bog, Mt Elphinstone",NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,NA,NA,NA,NA,NA,NA,49.502,-123.57
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales",NA,NA,"Pinaceae","Abies",NA,"Abies amabilis",NA,"species","E","E","E01021493",NA,"http://data.rbge.org.uk/herb/E01021493","Edinburgh, Howick Expedition to British Columbia (EHBC)","12",NA,"2016-08-25",2016,8,25,"PRESERVED_SPECIMEN","Forest service road to Dakota Bog, Mt Elphinstone",NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,NA,NA,NA,NA,NA,NA,49.502,-123.57
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales",NA,NA,"Pinaceae","Abies",NA,"Abies amabilis",NA,"species","iNaturalist","Observations","127179772",NA,"https://www.inaturalist.org/observations/127179772","Rand Rudland",NA,NA,"2022-07-20",2022,7,20,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",430,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"FreckLes",NA,NA,NA,NA,NA,49.493,-123.57
"Athyrium filix-femina var. cyclosorum","(L.) Roth",52669,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Athyriaceae","Athyrium",NA,"Athyrium filix-femina","cyclosorum","varietas","iNaturalist","Observations","131687930",NA,"https://www.inaturalist.org/observations/131687930","Rand Rudland",NA,NA,"2022-08-20",2022,8,20,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",430,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Rand Rudland",NA,NA,NA,NA,NA,49.493,-123.57
"Athyrium filix-femina var. cyclosorum","(L.) Roth",52669,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Athyriaceae","Athyrium",NA,"Athyrium filix-femina","cyclosorum","varietas","iNaturalist","Observations","131687922",NA,"https://www.inaturalist.org/observations/131687922","Rand Rudland",NA,NA,"2022-08-20",2022,8,20,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",430,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Rand Rudland",NA,NA,NA,NA,NA,49.493,-123.57
"Gaultheria ovatifolia","A. Gray",77228,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Gaultheria",NA,"Gaultheria ovatifolia",NA,"species","iNaturalist","Observations","127179748",NA,"https://www.inaturalist.org/observations/127179748","Rand Rudland",NA,NA,"2022-07-20",2022,7,20,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",430,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"Rand Rudland",NA,NA,NA,NA,NA,49.493,-123.57
"Gentiana sceptrum","Griseb.",77244,"Plantae","Tracheophyta","Magnoliopsida","Gentianales",NA,NA,"Gentianaceae","Gentiana",NA,"Gentiana sceptrum",NA,"species","iNaturalist","Observations","88773728",NA,"https://www.inaturalist.org/observations/88773728","Rand Rudland",NA,NA,"2021-07-26",2021,7,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",430,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"Rand Rudland",NA,NA,NA,NA,NA,49.493,-123.57
"Gentiana sceptrum","Griseb.",77244,"Plantae","Tracheophyta","Magnoliopsida","Gentianales",NA,NA,"Gentianaceae","Gentiana",NA,"Gentiana sceptrum",NA,"species","iNaturalist","Observations","90141502",NA,"https://www.inaturalist.org/observations/90141502","pumakit",NA,NA,"2021-08-05",2021,8,5,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"pumakit",NA,NA,NA,NA,NA,49.493,-123.57
"Gentiana sceptrum","Griseb.",77244,"Plantae","Tracheophyta","Magnoliopsida","Gentianales",NA,NA,"Gentianaceae","Gentiana",NA,"Gentiana sceptrum",NA,"species","iNaturalist","Observations","54334770",NA,"https://www.inaturalist.org/observations/54334770","Rand Rudland",NA,NA,"2020-07-25",2020,7,25,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",4,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"Rand Rudland",NA,NA,NA,NA,NA,49.493,-123.57
