"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences"
"Agoseris aurantiaca var. aurantiaca","(Hook.) Greene",75302,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Agoseris",NA,"Agoseris aurantiaca","aurantiaca","varietas","UBC","UBCVascular","V44810","","6AE3A8E7-BB2E-8A4C-8803-3E4D31CC08B3","John Davidson","s.n.",NA,"1912-08-10",1912,8,10,"PRESERVED_SPECIMEN","Garibaldi Camp, (? Black Tusk Meadows)",NA,NA,"British Columbia","Canada","CA",49.9497107083849,-123.067680124609,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Jamie D. Fenneman",NA,NA,NA,NA,NA
"Agoseris aurantiaca var. aurantiaca","(Hook.) Greene",75302,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Agoseris",NA,"Agoseris aurantiaca","aurantiaca","varietas","UBC","UBCVascular","V55446","","73D37F70-56C7-0C44-BEF3-82C2D091C9DA","Vernon C. Brink","56-8-46",NA,"1956-08-01",1956,8,1,"PRESERVED_SPECIMEN","Garibaldi lake area, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.936943999071,-123.025556,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"G.I. Baird 1998",NA,NA,NA,NA,NA
"Agoseris aurantiaca var. aurantiaca","(Hook.) Greene",75302,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Agoseris",NA,"Agoseris aurantiaca","aurantiaca","varietas","UBC","UBCVascular","V27383","","6DDA15A3-4ACC-014D-ABA8-59A398D779C3","W. Cottle","s.n.",NA,"1951-08-01",1951,8,1,"PRESERVED_SPECIMEN","Garibaldi Park, Black Tusk Meadows",NA,NA,"British Columbia","Canada","CA",49.9497107083849,-123.067680124609,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Jamie D. Fenneman",NA,NA,NA,NA,NA
"Agoseris aurantiaca var. aurantiaca","(Hook.) Greene",75302,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Agoseris",NA,"Agoseris aurantiaca","aurantiaca","varietas","UBC","UBCVascular","V158267","","8BEA26F1-F73A-AF46-A887-8F6F276DB45C","B. Fraser","s.n.",NA,"1965-07-02",1965,7,2,"PRESERVED_SPECIMEN","Garibaldi Park, Sentinel glacier foreland",NA,NA,"British Columbia","Canada","CA",49.8930444794088,-122.982676465135,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Jamie D. Fenneman",NA,NA,NA,NA,NA
"Agoseris aurantiaca var. aurantiaca","(Hook.) Greene",75302,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Agoseris",NA,"Agoseris aurantiaca","aurantiaca","varietas","UBC","UBCVascular","V44813","","A9D134FB-A3E2-A94A-84E3-80E892CD805D","John Davidson","s.n.",NA,"1914-08-01",1914,8,1,"PRESERVED_SPECIMEN","Garibaldi, Sphinx Glacier",NA,NA,"British Columbia","Canada","CA",49.9163787550759,-122.959342409206,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Jamie D. Fenneman",NA,NA,NA,NA,NA
"Agoseris aurantiaca var. aurantiaca","(Hook.) Greene",75302,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Agoseris",NA,"Agoseris aurantiaca","aurantiaca","varietas","UBC","UBCVascular","V158245","","F72A979E-C9E6-9B44-AEBA-32731A0B9F99","B. Fraser","s.n.",NA,"1965-08-16",1965,8,16,"PRESERVED_SPECIMEN","Sphinx glacier foreland, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.9163787550759,-122.959342409206,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"B. Fraser; G.I. Baird 1998",NA,NA,NA,NA,NA
"Agoseris aurantiaca var. aurantiaca","(Hook.) Greene",75302,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Agoseris",NA,"Agoseris aurantiaca","aurantiaca","varietas","UBC","UBCVascular","V27382","","77B2AEEB-63CE-1043-A9F5-8BE09AE41D23","W. Cottle","372",NA,"1951-08-09",1951,8,9,"PRESERVED_SPECIMEN","bcmc camp, Black Tusk meadows, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.9497107083849,-123.067680124609,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA
"Agoseris aurantiaca var. aurantiaca","(Hook.) Greene",75302,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Agoseris",NA,"Agoseris aurantiaca","aurantiaca","varietas","UBC","UBCVascular","V95858","","FE126A5C-39CA-4142-A603-4F07FDA9EB09","Charles B.W. Rogers","s.n.",NA,"1949-07-31",1949,7,31,"PRESERVED_SPECIMEN","west shore of Garibaldi lake Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.936943999071,-123.025556,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Ferenc Tusko",NA,NA,NA,NA,NA
"Agoseris aurantiaca var. aurantiaca","(Hook.) Greene",75302,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Agoseris",NA,"Agoseris aurantiaca","aurantiaca","varietas","","","LGL2020:12","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","","LGL Limited, Environmental Research Associates, Sidney, BC","",NA,"2020-07-01",2020,7,1,"MaterialCitation","",NA,NA,"British Columbia","Canada","CA",NA,NA,NA,"","unable to georeference","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA
"Agoseris glauca","(Pursh) Raf.",75303,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Agoseris",NA,"Agoseris glauca","","species","UBC","UBCVascular","V108844","","7B7D7863-2AC7-D943-817B-523E2C912305","Vladimir J. Krajina, R.C. Brooke","64092022",NA,"1964-09-20",1964,9,20,"PRESERVED_SPECIMEN","Garibaldi Park, little diamond head, cheekye ridge",NA,NA,"British Columbia","Canada","CA",49.8258329990704,-123.0075,NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5",NA,"Vladimir J. Krajina",NA,NA,NA,NA,NA
