"id","parentId","iNaturalistTaxonName","rank","iNaturalistTaxonImage","taxonName","Food Value","Medicinal Value","Spiritual Value","Material Value","Trade Value","Indicator Value","Hulquminum Name","Hulquminum Authority","Audio Link","commonName"
1,48460,"Animalia","kingdom","https://inaturalist-open-data.s3.amazonaws.com/photos/80678745/medium.jpg","",,,,,,,,,,"Animals"
2,1,"Chordata","phylum","https://inaturalist-open-data.s3.amazonaws.com/photos/80551845/medium.jpg","",,,,,,,,,,"Chordates"
3,355675,"Aves","class","https://inaturalist-open-data.s3.amazonaws.com/photos/2967053/medium.jpg","",,,,,,,,,,"Birds"
573,3,"Galliformes","order","https://static.inaturalist.org/photos/101730709/medium.jpeg","",,,,,,,,,,"Landfowl"
574,573,"Phasianidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/53053041/medium.jpg","",,,,,,,,,,"Pheasants, Grouse, and Allies"
1240,574,"Dendragapus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/102462413/medium.jpg","",,,,,,,,,,"Blue Grouse"
2114,3,"Coraciiformes","order","https://static.inaturalist.org/photos/64855144/medium.jpg","",,,,,,,,,,"Kingfishers, Bee-eaters, Rollers And Allies"
2314,2114,"Alcedinidae","family","https://static.inaturalist.org/photos/1871631/medium.jpg","",,,,,,,,,,"Kingfishers"
2547,2314,"Megaceryle","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/4801/medium.jpg","",,,,,,,,,,"Large Crested Kingfishers"
2548,2547,"Megaceryle alcyon","species","https://static.inaturalist.org/photos/344035706/medium.jpg","Megaceryle alcyon",,,,,,,"","","","Belted Kingfisher"
2708,3,"Columbiformes","order","https://inaturalist-open-data.s3.amazonaws.com/photos/3005241/medium.jpg","",,,,,,,,,,"Pigeons and Doves"
2715,2708,"Columbidae","family","https://static.inaturalist.org/photos/4343505/medium.jpg","",,,,,,,,,,"Pigeons and Doves"
3078,2715,"Patagioenas","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/3003639/medium.jpg","",,,,,,,,,,"New World Pigeons"
3108,3078,"Patagioenas fasciata","species","https://static.inaturalist.org/photos/689686/medium.jpg","Patagioenas fasciata",,,,,,,"","","","Band-tailed Pigeon"
3835,67561,"Scolopacidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/12245491/medium.jpg","",,,,,,,,,,"Sandpipers and Allies"
3977,3835,"Actitis","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/8839/medium.jpg","",,,,,,,,,,"Common and Spotted Sandpipers"
4203,67563,"Podicipedidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/1562/medium.jpg","",,,,,,,,,,"Grebes"
4204,4203,"Podiceps","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/64259377/medium.jpeg","",,,,,,,,,,"Typical Grebes"
4209,4204,"Podiceps auritus","species","https://inaturalist-open-data.s3.amazonaws.com/photos/199229290/medium.jpg","Podiceps auritus",1,1,0,1,1,0,"shhw'un'ets","(Thom, 2011)","","Horned Grebe"
4262,71268,"Phalacrocoracidae","family","https://static.inaturalist.org/photos/84041223/medium.jpg","",,,,,,,,,,"Cormorants and Shags"
4342,67561,"Laridae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/5906/medium.jpg","",,,,,,,,,,"Gulls, Terns, and Skimmers"
4343,4342,"Larus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/3688643/medium.jpg","",,,,,,,,,,"Large White-headed Gulls"
4399,4343,"Larus glaucescens","species","https://inaturalist-open-data.s3.amazonaws.com/photos/70108336/medium.jpeg","Larus glaucescens",,,,,,,"","","","Glaucous-winged Gull"
4413,71295,"Cepphus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/1714/medium.jpg","",,,,,,,,,,"True Guillemots"
4415,4413,"Cepphus columba","species","https://inaturalist-open-data.s3.amazonaws.com/photos/1714/medium.jpg","Cepphus columba",,,,,,,"","","","Pigeon Guillemot"
4755,71306,"Cathartes","genus","https://static.inaturalist.org/photos/106776262/medium.jpg","",,,,,,,,,,"Turkey and Yellow-headed Vultures"
4756,4755,"Cathartes aura","species","https://inaturalist-open-data.s3.amazonaws.com/photos/52277010/medium.jpg","Cathartes aura",,,,,,,"","","","Turkey Vulture"
4837,71325,"Haematopus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/20323/medium.jpg","",,,,,,,,,,"Oystercatchers"
4838,4837,"Haematopus bachmani","species","https://inaturalist-open-data.s3.amazonaws.com/photos/2059/medium.jpg","Haematopus bachmani",,,,,,,"","","","Black Oystercatcher"
4929,67566,"Ardeidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/1286/medium.jpg","",,,,,,,,,,"Herons, Egrets, and Bitterns"
4950,4929,"Ardea","genus","https://static.inaturalist.org/photos/194963173/medium.jpg","",,,,,,,,,,"Great Herons"
5067,71261,"Accipitridae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/12120585/medium.jpg","",,,,,,,,,,"Hawks, Eagles, and Kites"
5085,5067,"Accipiter","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/114451103/medium.jpg","",,,,,,,,,,"Accipiters"
5097,5085,"Accipiter striatus","species","https://static.inaturalist.org/photos/112860673/medium.jpeg","Accipiter striatus",,,,,,,"","","","Sharp-shinned Hawk"
5112,5085,"Accipiter cooperii","species","https://inaturalist-open-data.s3.amazonaws.com/photos/170370008/medium.jpg","Accipiter cooperii",,,,,,,"","","","Cooper's Hawk"
5303,5067,"Haliaeetus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/45572716/medium.jpg","",,,,,,,,,,"Northern Sea-Eagles and Fish-Eagles"
5305,5303,"Haliaeetus leucocephalus","species","https://static.inaturalist.org/photos/6149726/medium.jpg","Haliaeetus leucocephalus",0,1,1,1,1,1,"yuxwule'","(Thom, 2011)","https://drive.google.com/file/d/1q55Lr2y75UwL2lthr2IZHL7zH0DTrUiX/view?usp=sharing","Bald Eagle"
5562,67573,"Trochilidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/2967087/medium.jpg","",,,,,,,,,,"Hummingbirds"
6315,5562,"Calypte","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/1872/medium.jpg","",,,,,,,,,,"Anna's and Costa's Hummingbirds"
6317,6315,"Calypte anna","species","https://static.inaturalist.org/photos/67806541/medium.jpg","Calypte anna",,,,,,,"","","","Anna's Hummingbird"
6358,5562,"Selasphorus","genus","https://static.inaturalist.org/photos/69311285/medium.jpg","",,,,,,,,,,"Rufous, Allen's, and Allied Hummingbirds"
6363,6358,"Selasphorus rufus","species","https://static.inaturalist.org/photos/69310980/medium.jpg","Selasphorus rufus",,,,,,,"","","","Rufous Hummingbird"
6888,3,"Anseriformes","order","https://inaturalist-open-data.s3.amazonaws.com/photos/1954574/medium.jpg","",,,,,,,,,,"Waterfowl"
6912,6888,"Anatidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/109604096/medium.jpg","",,,,,,,,,,"Ducks, Geese, and Swans"
6913,6912,"Cygnus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/13096818/medium.jpg","",,,,,,,,,,"True Swans"
6915,6913,"Cygnus buccinator","species","https://inaturalist-open-data.s3.amazonaws.com/photos/5930863/medium.jpeg","Cygnus buccinator",1,1,1,1,1,1,"s-hwuw'qun","(Thom, 2011)","","Trumpeter Swan"
6922,6912,"Anas","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/94136093/medium.jpeg","",,,,,,,,,,"Mallards, Pintails, and Allies"
6930,6922,"Anas platyrhynchos","species","https://inaturalist-open-data.s3.amazonaws.com/photos/95268822/medium.jpg","Anas platyrhynchos",1,1,1,1,1,1,"tunuqsun","(Thom, 2011)","","Mallard"
6989,6912,"Bucephala","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/7135/medium.jpg","",,,,,,,,,,"Goldeneyes and Bufflehead"
6993,6989,"Bucephala albeola","species","https://static.inaturalist.org/photos/159782700/medium.jpg","Bucephala albeola",,,,,,,"","","","Bufflehead"
6994,6989,"Bucephala islandica","species","https://static.inaturalist.org/photos/59234083/medium.jpg","Bucephala islandica",,,,,,,"","","","Barrow's Goldeneye"
7043,6912,"Aythya","genus","https://static.inaturalist.org/photos/31458727/medium.jpg","",,,,,,,,,,"Scaups, Pochards, and Allies"
7044,7043,"Aythya collaris","species","https://static.inaturalist.org/photos/19393073/medium.jpg","Aythya collaris",,,,,,,"","","","Ring-necked Duck"
7086,6912,"Branta","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/7130/medium.jpg","",,,,,,,,,,"Black Geese"
7089,7086,"Branta canadensis","species","https://static.inaturalist.org/photos/181719420/medium.jpg","Branta canadensis",1,1,1,1,1,0,"exu","(Thom, 2011)","","Canada Goose"
7108,6912,"Lophodytes","genus","https://static.inaturalist.org/photos/109958085/medium.jpg","",,,,,,,,,,""
7109,7108,"Lophodytes cucullatus","species","https://inaturalist-open-data.s3.amazonaws.com/photos/338791340/medium.jpg","Lophodytes cucullatus",1,1,0,1,1,1,"hwuhwts'i'qw","(Thom, 2011)","","Hooded Merganser"
7251,3,"Passeriformes","order","https://inaturalist-open-data.s3.amazonaws.com/photos/5864947/medium.jpeg","",,,,,,,,,,"Perching Birds"
7448,7251,"Certhiidae","family","https://static.inaturalist.org/photos/31423761/medium.jpg","",,,,,,,,,,"Treecreepers"
7449,7448,"Certhia","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/12432/medium.jpg","",,,,,,,,,,"Typical Treecreepers"
7458,7449,"Certhia americana","species","https://static.inaturalist.org/photos/31423761/medium.jpg","Certhia americana",,,,,,,"","","","Brown Creeper"
7542,15964,"Troglodytes","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/123587461/medium.jpg","",,,,,,,,,,"Troglodytes Wrens"
7562,7542,"Troglodytes aedon","species","https://static.inaturalist.org/photos/103258086/medium.jpeg","Troglodytes aedon",,,,,,,"","","","House Wren"
7575,15964,"Thryomanes","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/1875/medium.jpg","",,,,,,,,,,""
