"iNaturalist taxon name","iNaturalist taxon ID","Taxon name","nameStatus","Common name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date observed","Description","Place name","Recorded by","Event Remarks","coordinateUncertaintyInMeters","Individual count","Depth","Catalog Number","Confidence","Field number","Coordinates Corrected","Coordinates Corrected Note","Captive/Cultivated","Quality grade","STATE","CLASS","SUB_CLASS","COMMENT","Community","LABEL","LABEL_LAB","LEGEND_LAB","Rank"
"Camassia leichtlinii",62218,"Camassia leichtlinii suksdorfii",,"Leichtlin's Camassia","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Asparagaceae","Agavoideae",,"Camassia","leichtlinii","iNat:2604245",48.94361,-123.509824,2013-05-04,,,,,87,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Brodiaea coronaria",57126,"Brodiaea coronaria","accepted","crown brodiaea","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Asparagaceae","Brodiaeoideae",,"Brodiaea","coronaria","iNat:3361549",48.93972,-123.50387,2016-06-01 19:44:33,,,"Adam Huggins",,,,,,,,"yes","shunted to adjacent woodland habitat",FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Brodiaea coronaria",57126,"Brodiaea coronaria","accepted","crown brodiaea","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Asparagaceae","Brodiaeoideae",,"Brodiaea","coronaria","iNat:3463708",48.939628,-123.501296,2016-06-14,,,"Andrew Simon",,87,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Platanthera transversa",355392,"Platanthera transversa","accepted","Flat Spurred Piperia","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Orchidaceae","Orchidoideae","Orchideae","Platanthera","transversa","iNat:3463717",48.939628,-123.501296,2016-06-14,,,"Andrew Simon",,87,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Lonicera hispidula",53416,"Lonicera hispidula","accepted","Pink Honeysuckle","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Dipsacales",,,,"Caprifoliaceae","Caprifolioideae",,"Lonicera","hispidula","iNat:3636694",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Holodiscus discolor",53414,"Holodiscus discolor","accepted","Ocean spray","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Rosales",,,,"Rosaceae","Amygdaloideae","Spiraeeae","Holodiscus","discolor","iNat:3636701",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Paxistima myrsinites",63893,"Paxistima myrsinites","accepted","Oregon Boxwood","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Celastrales",,,,"Celastraceae",,,"Paxistima","myrsinites","iNat:3636705",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Quercus garryana",68632,"Quercus garryana","accepted","Oregon oak","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Fagales",,,,"Fagaceae",,,"Quercus","garryana","iNat:3636711",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Amelanchier alnifolia semiintegrifolia",80360,"Amelanchier alnifolia semiintegrifolia","accepted","Pacific saskatoon","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Rosales",,,,"Rosaceae","Amygdaloideae","Maleae","Amelanchier","alnifolia","iNat:3637781",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Heuchera micrantha",51274,"Heuchera micrantha","accepted","crevice alumroot","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Saxifragales",,,,"Saxifragaceae",,"Heuchereae","Heuchera","micrantha","iNat:3637791",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
