"iNaturalist taxon name","iNaturalist taxon ID","Taxon name","nameStatus","Common name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date observed","Description","Place name","Recorded by","Event Remarks","coordinateUncertaintyInMeters","Individual count","Depth","Catalog Number","Confidence","Field number","Coordinates Corrected","Coordinates Corrected Note","Captive/Cultivated","Quality grade","STATE","CLASS","SUB_CLASS","COMMENT","Community","LABEL","LABEL_LAB","LEGEND_LAB","Rank"
"Heuchera micrantha",51274,"Heuchera micrantha","accepted","crevice alumroot","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Saxifragales",,,,"Saxifragaceae",,"Heuchereae","Heuchera","micrantha","iNat:3637861",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Platanthera elongata",551466,"Platanthera elongata","accepted","Denseflower Rein Orchid","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Orchidaceae","Orchidoideae","Orchideae","Platanthera","elongata","iNat:3637891",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Castilleja hispida",128204,"Castilleja hispida","accepted","harsh indian paintbrush","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Orobanchaceae",,"Pedicularideae","Castilleja","hispida","iNat:3637914",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Goodyera oblongifolia",50719,"Goodyera oblongifolia","accepted","Western Rattlesnake Plantain","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Orchidaceae","Orchidoideae","Cranichideae","Goodyera","oblongifolia","iNat:3637921",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Goodyera oblongifolia",50719,"Goodyera oblongifolia","accepted","Western Rattlesnake Plantain","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Orchidaceae","Orchidoideae","Cranichideae","Goodyera","oblongifolia","iNat:3637936",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Platanthera transversa",355392,"Platanthera transversa","accepted","Flat Spurred Piperia","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Orchidaceae","Orchidoideae","Orchideae","Platanthera","transversa","iNat:3637957",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Platanthera",48031,"Platanthera","accepted","Bog Orchids","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Orchidaceae","Orchidoideae","Orchideae","Platanthera",,"iNat:3637968",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"needs_id","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","genus"
"Berberis nervosa",75756,"Berberis nervosa","accepted","Cascade Oregon-grape","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Ranunculales",,,,"Berberidaceae","Berberidoideae","Berberideae","Berberis","nervosa","iNat:3637990",48.939607,-123.501418,2016-07-06,,,"Lauren Magner",,28,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Micranthes integrifolia",78027,"Micranthes integrifolia","accepted","Wholeleaf Saxifrage","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Saxifragales",,,,"Saxifragaceae",,"Micrantheae","Micranthes","integrifolia","iNat:5644787",48.939476,-123.501253,2017-04-06 17:45:00,,,"Karolle Wall",,31,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Aphyllon purpureum",739040,"Aphyllon purpureum","accepted","oneflower broomrape","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Orobanchaceae",,"Orobancheae","Aphyllon","purpureum","iNat:6493585",48.939563,-123.501441,2017-05-29 01:23:14,,,"Ayla M",,65,,,,,,"yes",,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Sedum spathulifolium",58886,"Sedum spathulifolium","accepted","Broad-leaved Stonecrop","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Saxifragales",,,,"Crassulaceae","Sempervivoideae","Sedeae","Sedum","spathulifolium","iNat:6570991",48.938906,-123.500495,2017-05-29 01:12:46,,,"Ayla M",,1032,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Trifolium willdenovii",57081,"Trifolium willdenovii","accepted","tomcat clover","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Fabales",,,,"Fabaceae","Faboideae","Trifolieae","Trifolium","willdenovii","iNat:6571023",48.939223,-123.501043,2017-05-29 01:21:21,,,"Ayla M",,516,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Rumex acetosella",53195,"Rumex acetosella","accepted","Sheep's sorrel","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Caryophyllales",,,,"Polygonaceae","Polygonoideae","Rumiceae","Rumex","acetosella","iNat:6571061",48.939141,-123.501062,2017-05-29 01:21:39,,,"Ayla M",,516,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Toxicoscordion venenosum",59087,"Toxicoscordion venenosum","accepted","Meadow Deathcamas","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Liliales",,,,"Melanthiaceae",,"Melanthieae","Toxicoscordion","venenosum","iNat:6571213",48.939349,-123.501161,2017-05-29 01:32:31,,,"Ayla M",,516,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Polypodium glycyrrhiza",55104,"Polypodium glycyrrhiza","accepted","licorice fern","Plantae","Tracheophyta",,,"Polypodiopsida","Polypodiidae",,"Polypodiales","Polypodiineae",,,"Polypodiaceae","Polypodioideae",,"Polypodium","glycyrrhiza","iNat:6601068",48.938859,-123.50047,2017-05-29 01:23:35,,,"Ayla M",,1032,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Trochoidea",474466,"Trochoidea","accepted",,"Animalia","Mollusca",,,"Gastropoda","Vetigastropoda",,"Trochida",,,"Trochoidea",,,,,,"iNat:7674349",48.940522,-123.505415,2017-05-26,,,"Karolle Wall",,61,,,,,,,,FALSE,"needs_id","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","superfamily"
"Sedum spathulifolium",58886,"Sedum spathulifolium","accepted","Broad-leaved Stonecrop","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Saxifragales",,,,"Crassulaceae","Sempervivoideae","Sedeae","Sedum","spathulifolium","iNat:10686600",48.938941,-123.500972,2018-04-07 20:54:36,,,,,200,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Ixodes pacificus",60599,"Ixodes pacificus","accepted","Western Black-legged Tick","Animalia","Arthropoda","Chelicerata",,"Arachnida","Acari","Parasitiformes","Ixodida",,,,"Ixodidae",,,"Ixodes","pacificus","iNat:10770029",48.940097,-123.504907,2018-04-10,,,"Andrew Simon",,59,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Anthocharis julia flora",900263,"Anthocharis julia flora","accepted","Flora Orangetip","Animalia","Arthropoda","Hexapoda",,"Insecta","Pterygota",,"Lepidoptera",,,"Papilionoidea","Pieridae","Pierinae","Anthocharidini","Anthocharis","julia","iNat:12220002",48.939809,-123.504251,2018-04-08,,,"Pascale Archibald",,56,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Castilleja hispida",128204,"Castilleja hispida","accepted","harsh indian paintbrush","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Orobanchaceae",,"Pedicularideae","Castilleja","hispida","iNat:12220105",48.93988,-123.504401,2018-04-08,,,"Pascale Archibald",,64,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Sedum spathulifolium",58886,"Sedum spathulifolium","accepted","Broad-leaved Stonecrop","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Saxifragales",,,,"Crassulaceae","Sempervivoideae","Sedeae","Sedum","spathulifolium","iNat:13198257",48.939482,-123.501428,2018-06-02 20:14:15,,,,,117,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Vireo cassinii",17382,"Vireo cassinii","accepted","Cassin's Vireo","Animalia","Chordata","Vertebrata",,"Aves",,,"Passeriformes",,,,"Vireonidae",,,"Vireo","cassinii","iNat:13876379",48.940066,-123.504608,2018-06-28 18:52:00,,,"Karolle Wall",,5,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Strymon melinus",50931,"Strymon melinus","accepted","Gray Hairstreak","Animalia","Arthropoda","Hexapoda",,"Insecta","Pterygota",,"Lepidoptera",,,"Papilionoidea","Lycaenidae","Theclinae","Eumaeini","Strymon","melinus","iNat:14300197",48.939776,-123.504202,2018-07-12 18:41:00,,,"Andrew Simon",,39,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Castilleja hispida",128204,"Castilleja hispida","accepted","harsh indian paintbrush","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Orobanchaceae",,"Pedicularideae","Castilleja","hispida","iNat:16307014",48.939836,-123.504104,2018-05-11 23:12:00,,,"Andrew Simon",,93,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Castilleja hispida",128204,"Castilleja hispida","accepted","harsh indian paintbrush","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Orobanchaceae",,"Pedicularideae","Castilleja","hispida","iNat:16307015",48.939836,-123.504104,2018-05-11 23:31:00,,,"Andrew Simon",,93,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Vicia sativa",53324,"Vicia sativa","accepted","Common Vetch","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Fabales",,,,"Fabaceae","Faboideae","Fabeae","Vicia","sativa","iNat:16307016",48.939836,-123.504104,2018-05-11 23:34:00,,,"Andrew Simon",,93,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Erynnis propertius",59187,"Erynnis propertius","accepted","Propertius Duskywing","Animalia","Arthropoda","Hexapoda",,"Insecta","Pterygota",,"Lepidoptera",,,"Papilionoidea","Hesperiidae","Pyrginae","Erynnini","Erynnis","propertius","iNat:16307019",48.939836,-123.504104,2018-05-12 00:06:00,,,"Andrew Simon",,93,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Centaurea cyanus",933404,"Centaurea cyanus","accepted","Cornflower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Asterales",,,,"Asteraceae","Carduoideae","Cardueae","Centaurea","cyanus","iNat:16307020",48.939836,-123.504104,2018-05-12 00:07:00,,,"Andrew Simon",,93,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Cerastium arvense",50851,"Cerastium arvense","accepted","field chickweed","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Caryophyllales",,,,"Caryophyllaceae",,"Alsineae","Cerastium","arvense","iNat:16307021",48.939836,-123.504104,2018-05-12 00:32:00,,,"Andrew Simon",,93,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Plectritis congesta",57786,"Plectritis congesta","accepted","shortspur seablush","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Dipsacales",,,,"Caprifoliaceae","Valerianoideae",,"Plectritis","congesta","iNat:20738995",48.939428,-123.501327,2019-02-24 13:50:00,,,"Andrew Simon",,,,,,,,,,FALSE,"needs_id","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Micranthes integrifolia",78027,"Micranthes integrifolia","accepted","Wholeleaf Saxifrage","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Saxifragales",,,,"Saxifragaceae",,"Micrantheae","Micranthes","integrifolia","iNat:20738996",48.939453,-123.501295,2019-02-24 13:51:00,,,"Andrew Simon",,,,,,,,,,FALSE,"needs_id","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Sedum spathulifolium",58886,"Sedum spathulifolium","accepted","Broad-leaved Stonecrop","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Saxifragales",,,,"Crassulaceae","Sempervivoideae","Sedeae","Sedum","spathulifolium","iNat:20738997",48.939433,-123.50132,2019-02-24 13:51:00,,,"Andrew Simon",,,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Cephaloziella divaricata",56495,"Cephaloziella divaricata","accepted","Spreading Threadwort","Plantae","Marchantiophyta",,,"Jungermanniopsida","Jungermanniidae",,"Jungermanniales","Cephaloziineae",,,"Cephaloziellaceae",,,"Cephaloziella","divaricata","iNat:20738998",48.939418,-123.50128,2019-02-24 13:54:00,,,"Andrew Simon",,,,,,,,,,FALSE,"needs_id","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Sanicula crassicaulis",53201,"Sanicula crassicaulis","accepted","Pacific Sanicle","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Apiales",,,,"Apiaceae","Saniculoideae","Saniculeae","Sanicula","crassicaulis","iNat:20738999",48.939428,-123.501277,2019-02-24 13:56:00,,,"Andrew Simon",,,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Alchemilla occidentalis",1452907,"Alchemilla occidentalis","accepted","western lady's mantle","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Rosales",,,,"Rosaceae","Rosoideae","Potentilleae","Alchemilla","occidentalis","iNat:20739000",48.939644,-123.501139,2019-02-24 13:57:00,,,"Andrew Simon",,,,,,,,,,FALSE,"needs_id","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Timmiella crassinervis",169775,"Timmiella crassinervis","accepted",,"Plantae","Bryophyta",,,"Bryopsida",,,"Pottiales",,,,"Pottiaceae",,,"Timmiella","crassinervis","iNat:20739476",48.939643,-123.501138,2019-02-24 13:58:03,,,"Andrew Simon",,,,,,,,,,FALSE,"needs_id","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Rinodina bolanderi",230206,"Rinodina bolanderi","accepted","Bolander's Rinodina Lichen","Fungi","Ascomycota","Pezizomycotina",,"Lecanoromycetes","Lecanoromycetidae",,"Caliciales",,,,"Physciaceae",,,"Rinodina","bolanderi","iNat:22597101",48.940006,-123.504543,2017-05-18 20:15:00,,,"Andrew Simon",,147,,,,,,,,FALSE,"needs_id","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Camassia",62219,"Camassia","accepted","camas","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Asparagaceae","Agavoideae",,"Camassia",,"iNat:23551408",48.939292,-123.501213,2019-04-28 01:36:01,,,"Adam Huggins",,5,,,,,,"yes",,FALSE,"needs_id","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","genus"
"Toxicoscordion venenosum",59087,"Toxicoscordion venenosum","accepted","Meadow Deathcamas","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Liliales",,,,"Melanthiaceae",,"Melanthieae","Toxicoscordion","venenosum","iNat:23551651",48.939128,-123.501158,2019-04-28 01:38:17,,,"Adam Huggins",,10,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Fritillaria affinis",50618,"Fritillaria affinis","accepted","checker lily","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Liliales",,,,"Liliaceae","Lilioideae","Lilieae","Fritillaria","affinis","iNat:23552467",48.93913,-123.50116,2019-04-28 01:38:51,,,"Adam Huggins",,5,,,,,,"yes","shunted to nearby woodland habitat on Retreat Island",FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Plectritis congesta",57786,"Plectritis congesta","accepted","shortspur seablush","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Dipsacales",,,,"Caprifoliaceae","Valerianoideae",,"Plectritis","congesta","iNat:23552676",48.93882,-123.50071,2019-04-28 01:46:54,,,"Adam Huggins",,22,,,,,,"yes","shunted to adjacent woodland habitat on Retreat Island",FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Erythranthe nasuta",545973,"Erythranthe nasuta","accepted","shy monkeyflower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Phrymaceae",,,"Erythranthe","nasuta","iNat:23552945",48.93889,-123.50083,2019-04-28 01:59:58,,,"Adam Huggins",,42,,,,,,"yes","shunted to adjacent woodland habitat",FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Pterygota",184884,"Pterygota","accepted","Winged and Once-winged Insects","Animalia","Arthropoda","Hexapoda",,"Insecta","Pterygota",,,,,,,,,,,"iNat:30217320",48.939778,-123.504309,2019-08-04 18:18:00,,,"Andrew Simon",,18,,,,,,,,FALSE,"needs_id","Natural","CL","cc","coastal bluff","Woodlands","Coastal bluff",,"Coastal Bluff","subclass"
"Centaurea cyanus",933404,"Centaurea cyanus","accepted","Cornflower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Asterales",,,,"Asteraceae","Carduoideae","Cardueae","Centaurea","cyanus","iNat:30217321",48.939778,-123.504309,2019-08-04 18:19:00,,,"Andrew Simon",,18,,,,,,,,FALSE,"research","Natural","CL","cc","coastal bluff","Woodlands","Coastal bluff",,"Coastal Bluff","species"
"Cynodontium jenneri",161409,"Cynodontium jenneri","accepted","Jenner's Dog-tooth","Plantae","Bryophyta",,,"Bryopsida",,,"Dicranales",,,,"Rhabdoweisiaceae",,,"Cynodontium","jenneri","iNat:45326908",48.939606,-123.501206,2020-05-08 21:35:00,,,"Andrew Simon",,,,,,,,,,FALSE,"needs_id","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Castilleja hispida",128204,"Castilleja hispida","accepted","harsh indian paintbrush","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Orobanchaceae",,"Pedicularideae","Castilleja","hispida","iNat:45326909",48.939612,-123.501328,2020-05-08 21:38:00,,,"Andrew Simon",,,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Paxistima myrsinites",63893,"Paxistima myrsinites","accepted","Oregon Boxwood","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Celastrales",,,,"Celastraceae",,,"Paxistima","myrsinites","iNat:47625438",48.939619,-123.503972,2020-05-22 18:46:08,,,,,32,,,,,,"yes",,FALSE,"research","Natural","CL","cc","coastal bluff","Woodlands","Coastal bluff",,"Coastal Bluff","species"
"Brodiaea coronaria",57126,"Brodiaea coronaria","accepted","crown brodiaea","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Asparagaceae","Brodiaeoideae",,"Brodiaea","coronaria","iNat:48027633",48.938247,-123.499787,2020-05-27 21:31:04,,,"Adam Huggins",,,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Clarkia amoena",61048,"Clarkia amoena","accepted","Farewell-To-Spring","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Myrtales",,,,"Onagraceae",,,"Clarkia","amoena","iNat:49133371",48.939178,-123.501167,2020-05-27 22:16:54,,,,,32,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Plectritis congesta",57786,"Plectritis congesta","accepted","shortspur seablush","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Dipsacales",,,,"Caprifoliaceae","Valerianoideae",,"Plectritis","congesta","iNat:49133645",48.938463,-123.499808,2020-05-27 21:46:24,,,,,48,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Veronica arvensis",55748,"Veronica arvensis","accepted","corn speedwell","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Plantaginaceae",,"Veroniceae","Veronica","arvensis","iNat:49133701",48.938171,-123.499715,2020-05-27 21:40:38,,,,,16,,,,,,"yes",,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Dactylis glomerata",52720,"Dactylis glomerata","accepted","orchard grass","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Poales",,,,"Poaceae","Pooideae","Poeae","Dactylis","glomerata","iNat:49133725",48.938225,-123.499755,2020-05-27 21:40:00,,,,,16,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Lonicera hispidula",53416,"Lonicera hispidula","accepted","Pink Honeysuckle","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Dipsacales",,,,"Caprifoliaceae","Caprifolioideae",,"Lonicera","hispidula","iNat:49133768",48.938303,-123.499912,2020-05-27 21:39:43,,,,,48,,,,,,"yes",,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Silene coronaria",485191,"Silene coronaria","accepted","Rose campion","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Caryophyllales",,,,"Caryophyllaceae","Caryophylloideae","Sileneae","Silene","coronaria","iNat:49133850",48.9383,-123.49968,2020-05-27 21:38:59,,,,,16,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
"Sedum spathulifolium",58886,"Sedum spathulifolium","accepted","Broad-leaved Stonecrop","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Saxifragales",,,,"Crassulaceae","Sempervivoideae","Sedeae","Sedum","spathulifolium","iNat:49133878",48.938295,-123.499663,2020-05-27 21:38:51,,,,,16,,,,,,,,FALSE,"research","Natural","WD","mx",,"Woodlands","Woodland",,"Woodland","species"
