"iNaturalist taxon name","iNaturalist taxon ID","Taxon name","nameStatus","Common name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date observed","Description","Place name","Recorded by","Event Remarks","coordinateUncertaintyInMeters","Individual count","Depth","Catalog Number","Confidence","Field number","Coordinates Corrected","Coordinates Corrected Note","Captive/Cultivated","Quality grade","STATE","CLASS","SUB_CLASS","COMMENT","Community","LABEL","LABEL_LAB","LEGEND_LAB","Rank"
"Metridium senile",49071,"Metridium senile","accepted","short plumose anemone","Animalia","Cnidaria",,,"Anthozoa","Hexacorallia",,"Actiniaria","Enthemonae",,"Metridioidea","Metridiidae",,,"Metridium","senile","PMLS:13",48.939813,-123.501514,1969-02-21 11:00:00,,"Retreat Cove","Andy Lamb",,,,70,,,,,,,,"Natural","MAR",,,"Marine","Subtidal","Subtidal",,"species"
"Balanophyllia elegans",51799,"Balanophyllia elegans","accepted","orange cup coral","Animalia","Cnidaria",,,"Anthozoa","Hexacorallia",,"Scleractinia",,,,"Dendrophylliidae",,,"Balanophyllia","elegans","PMLS:14",48.939813,-123.501514,1969-02-21 11:00:00,,"Retreat Cove","Andy Lamb",,,,70,,,,,,,,"Natural","MAR",,,"Marine","Subtidal","Subtidal",,"species"
"Ptilosarcus gurneyi",448320,"Ptilosarcus gurneyi","accepted","orange sea pen","Animalia","Cnidaria",,,"Anthozoa","Octocorallia",,"Scleralcyonacea",,,"Pennatuloidea","Pennatulidae",,,"Ptilosarcus","gurneyi","PMLS:15",48.939813,-123.501514,1969-02-21 11:00:00,"collected","Retreat Cove","Andy Lamb","collected",,,70,,,,,,,,"Natural","MAR",,,"Marine","Subtidal","Subtidal",,"species"
"Serpula columbiana",131207,"Serpula columbiana","accepted","red-trumpet calcareous tubeworm","Animalia","Annelida",,,"Polychaeta","Sedentaria",,"Sabellida",,,,"Serpulidae",,,"Serpula","columbiana","PMLS:16",48.939813,-123.501514,1969-02-21 11:00:00,,"Retreat Cove","Andy Lamb",,,,70,,,,,,,,"Natural","MAR",,,"Marine","Subtidal","Subtidal",,"species"
"Dodecaceria pacifica",1500739,"Dodecaceria fewkesi","unaccepted","fringed filament-worm","Animalia","Annelida",,,"Polychaeta","Sedentaria",,"Terebellida","Cirratuliformia",,,"Cirratulidae",,,"Dodecaceria","pacifica","PMLS:17",48.939813,-123.501514,1969-02-21 11:00:00,"collected","Retreat Cove","Andy Lamb","collected",,,70,,,,,,,,"Natural","MAR",,,"Marine","Subtidal","Subtidal",,"species"
"Eudistylia vancouveri",84864,"Eudistylia vancouveri","accepted","Vancouver feather-duster","Animalia","Annelida",,,"Polychaeta","Sedentaria",,"Sabellida",,,,"Sabellidae","Sabellinae",,"Eudistylia","vancouveri","PMLS:18",48.939813,-123.501514,1969-02-21 11:00:00,"collected","Retreat Cove","Andy Lamb","collected",,,70,,,,,,,,"Natural","MAR",,,"Marine","Subtidal","Subtidal",,"species"
"Schizobranchia insignis",339561,"Schizobranchia insignis","accepted","split-branch feather-duster","Animalia","Annelida",,,"Polychaeta","Sedentaria",,"Sabellida",,,,"Sabellidae","Sabellinae",,"Schizobranchia","insignis","PMLS:19",48.939813,-123.501514,1969-02-21 11:00:00,"collected","Retreat Cove","Andy Lamb","collected",,,70,,,,,,,,"Natural","MAR",,,"Marine","Subtidal","Subtidal",,"species"
"Chlamys",84497,"Chlamys sp.","accepted","pink scallop","Animalia","Mollusca",,,"Bivalvia","Autobranchia",,"Pectinida",,,"Pectinoidea","Pectinidae","Pedinae","Chlamydini","Chlamys",,"PMLS:20",48.939813,-123.501514,1969-02-21 11:00:00,"collected, with Mycale/Myxilla","Retreat Cove","Andy Lamb","collected, with Mycale/Myxilla",,,70,,,,,,,,"Natural","MAR",,,"Marine","Subtidal","Subtidal",,"genus"
"Crassadoma gigantea",54526,"Crassadoma gigantea","accepted","giant rock scallop","Animalia","Mollusca",,,"Bivalvia","Autobranchia",,"Pectinida",,,"Pectinoidea","Pectinidae","Pedinae","Crassadomini","Crassadoma","gigantea","PMLS:21",48.939813,-123.501514,1969-02-21 11:00:00,"collected","Retreat Cove","Andy Lamb","collected",,,70,,,,,,,,"Natural","MAR",,,"Marine","Subtidal","Subtidal",,"species"
"Diodora aspera",64148,"Diodora aspera","accepted","rough keyhole limpet","Animalia","Mollusca",,,"Gastropoda","Vetigastropoda",,"Lepetellida",,,"Fissurelloidea","Fissurellidae","Diodorinae",,"Diodora","aspera","PMLS:22",48.939813,-123.501514,1969-02-21 11:00:00,"collected","Retreat Cove","Andy Lamb","collected",,,70,,,,,,,,"Natural","MAR",,,"Marine","Subtidal","Subtidal",,"species"
